region,region_slug,event_time,s_L,s_H,s_unknown,n_municipalities,n_voters_baseline,beta_N,beta_N_se,beta_N_lower,beta_N_upper,beta_L,beta_L_se,beta_L_lower,beta_L_upper,beta_H,beta_H_se,beta_H_lower,beta_H_upper,D_N,D_N_lower,D_N_upper,D_L,D_L_lower,D_L_upper,D_H,D_H_lower,D_H_upper,D_residual,R_min,R_min_se,R_min_lower,R_min_upper,R_max,R_max_se,R_max_lower,R_max_upper,bounds_feasible,scenario_A_feasible,scenario_A_R,scenario_A_E_L,scenario_A_E_H,scenario_B_R,scenario_B_E_L,scenario_B_E_H,scenario_C_feasible,scenario_C_R,scenario_C_E_L,scenario_C_E_H
Norte,norte,0,0.5763414699696794,0.42333167826166984,0.0003268517686508375,282,7367254,-0.0959214292089462,0.0274131692063595,-0.1579343262841116,-0.0339085321337808,-0.2853833715315929,0.016964792190753,-0.3237603977012879,-0.2470063453618978,0.1277710862330947,0.0407234963160423,0.0356481373475731,0.2198940351186163,-0.0914646023906921,-0.14609414070214277,-0.033340081085944884,-0.1430905970901116,-0.159402474545952,-0.12614055110349134,0.05769708509292836,0.015363193511911542,0.1041161814294689,-0.006071090393508859,0.05769708509292836,0.019589173072381363,0.01930230587106089,0.09609186431479583,0.1430905970901116,0.007350011024864212,0.12868457548137774,0.15749661869884546,True,False,0.0,0.1430905970901116,-0.05769708509292836,0.05769708509292836,0.0914646023906921,0.0,True,0.0964169487245164,0.052714843392043735,0.038719863631588025
Norte,norte,2,0.5763414699696794,0.42333167826166984,0.0003268517686508375,282,7367254,-0.0382166578416169,0.0321501206180962,-0.1109452834826696,0.0345119677994357,-0.235439492612714,0.0273819756343471,-0.2973818249255183,-0.1734971602999096,0.0675322666539856,0.0326117856171409,-0.0062407177714693,0.1413052510794405,-0.03749561582313099,-0.10501228179970179,0.035114416343713595,-0.12090291025329475,-0.14825787582846317,-0.0917999352896334,0.029575974567782326,-0.0026336669938639605,0.06425166298903517,0.05383131986238143,0.029575974567782326,0.014770127278436572,0.0006265251020466447,0.05852542403351801,0.12090291025329475,0.01247080754509618,0.09646012746490623,0.14534569304168327,True,False,0.0,0.12090291025329475,-0.029575974567782326,0.029575974567782326,0.03749561582313099,0.0,True,0.04544905654164319,0.021610278340921683,0.015873081973860864
Norte,norte,4,0.5763414699696794,0.42333167826166984,0.0003268517686508375,282,7367254,0.0145239062503582,0.0362822862422196,-0.0675523274551737,0.0966001399558902,-0.1740862780931247,0.0425228512978522,-0.2702796507391641,-0.0778929054470854,0.01208212078392,0.0402033904968777,-0.0788642669973652,0.1030285085652053,0.014629890657652966,-0.06532119002717673,0.10141987175882794,-0.09208530326333639,-0.1364972300261948,-0.04318901803975813,0.005145767765147605,-0.03210320725418424,0.04594122838768155,0.10156942615584175,0.005145767765147605,0.017226246081720978,0.0,0.03890921008532072,0.09208530326333639,0.020591952966921748,0.05172507544816976,0.13244553107850301,True,False,0.0,0.09208530326333639,-0.005145767765147605,0.005145767765147605,-0.014629890657652966,0.0,False,-0.00104752839974135,-0.00843181268712739,-0.006193296164888955
Norte,norte,6,0.5763414699696794,0.42333167826166984,0.0003268517686508375,282,7367254,-0.0383867020140332,0.0381144897855392,-0.1246076680887899,0.0478342640607234,-0.213758025903709,0.038489502713666,-0.3008273301599697,-0.1266887216474483,-0.1532501565528038,0.0655668148234829,-0.3015725963476092,-0.0049277167579985,-0.03765927016995707,-0.1171567977912219,0.048996784449173214,-0.11092050877602096,-0.14973030201014187,-0.06858009992750039,-0.06014904684077071,-0.11021265483026108,-0.0020809272842136455,0.1334102854468346,0.0,0.0,0.0,0.0,0.11092050877602096,0.017913821348860357,0.07580941893225465,0.14603159861978726,True,True,0.0,0.11092050877602096,0.06014904684077071,-0.06014904684077071,0.03765927016995707,0.0,False,-0.04420668479761314,0.021704599127738356,0.015942362043157566
Norte,norte,8,0.5763414699696794,0.42333167826166984,0.0003268517686508375,282,7367254,-0.0460421642240232,0.0553169716284197,-0.171177847817558,0.0790935193695115,-0.2084320819108366,0.0627419558681718,-0.3503642467859903,-0.0664999170356828,-0.2290765308457492,0.0652667641055851,-0.3767202087598594,-0.0814328529316391,-0.04499830556359541,-0.1573283071774445,0.08230553386875528,-0.10843509007824949,-0.1703484090746176,-0.03708008490947449,-0.08666968141685065,-0.13288042120285692,-0.03310682171511765,0.15010646593150473,0.0,0.0,0.0,0.0,0.10843509007824949,0.029357361437584124,0.05089466166058461,0.16597551849591435,True,True,0.0,0.10843509007824949,0.08666968141685065,-0.08666968141685065,0.04499830556359541,0.0,False,-0.06762047320368236,0.025934389574667382,0.01904920821316828
Nordeste,nordeste,0,0.6571357894931394,0.34190840539829986,0.0009558051085606615,1222,28188801,-0.1250803904364099,0.0085567840014874,-0.1444371806558917,-0.105723600216928,-0.2906615712483484,0.0118025946927858,-0.3173608953722381,-0.2639622471244587,0.2262806536837924,0.0181916671358934,0.1851282435690903,0.2674330637984945,-0.11757403887498807,-0.13449071857924555,-0.10032671678669203,-0.1657502133901301,-0.1786962814768537,-0.15245383836575208,0.08681995867466652,0.06953485438046415,0.10483122586827363,-0.03864378415952449,0.08681995867466652,0.007799283690931523,0.07153336264044073,0.10210655470889231,0.1657502133901301,0.005799624792624872,0.15438294879658535,0.17711747798367486,True,False,0.0,0.1657502133901301,-0.08681995867466652,0.08681995867466652,0.11757403887498807,0.0,True,0.1270195108226514,0.07726210886001236,0.04019955214798489
Nordeste,nordeste,2,0.6571357894931394,0.34190840539829986,0.0009558051085606615,1222,28188801,-0.0772434021099196,0.0067316659489223,-0.0924714884538391,-0.062015315766,-0.2314308177129821,0.0115896425527503,-0.2576484106279572,-0.2052132247980071,0.2169846640250284,0.0259880055240276,0.15819571118201,0.2757736168680469,-0.07433548251266964,-0.08832479613643018,-0.06013150812503776,-0.13576584262743077,-0.1492572783841676,-0.12191601636037148,0.08285297133981255,0.0586015372950463,0.1085728634440032,-0.021422611225051416,0.08285297133981255,0.011038701005063635,0.06121711736988783,0.10448882530973727,0.13576584262743077,0.00604249132191998,0.12392255963646762,0.14760912561839393,True,False,0.0,0.13576584262743077,-0.08285297133981255,0.08285297133981255,0.07433548251266964,0.0,True,0.10826889763023263,0.04884850598831662,0.025415926290420082
Nordeste,nordeste,4,0.6571357894931394,0.34190840539829986,0.0009558051085606615,1222,28188801,-0.0519304554661868,0.0132383458723329,-0.081877674404885,-0.0219832365274887,-0.1897314893730437,0.0207871005834291,-0.2367551778516546,-0.1427078008944327,0.1461129664655982,0.0340517198096739,0.0690826245925468,0.2231433083386496,-0.05060511022789016,-0.07861533927000997,-0.021743366108049833,-0.11356541130106507,-0.13853442697943902,-0.08739421647506028,0.053791396274420845,0.024454909726732393,0.08547699750535465,0.009168904798754061,0.053791396274420845,0.013474258775303017,0.027381849074826933,0.08020094347401475,0.11356541130106507,0.011299252125651244,0.09141887713478863,0.1357119454673415,True,False,0.0,0.11356541130106507,-0.053791396274420845,0.053791396274420845,0.05060511022789016,0.0,True,0.07109370881744397,0.03325442906199195,0.01730231254302312
Nordeste,nordeste,6,0.6571357894931394,0.34190840539829986,0.0009558051085606615,1222,28188801,-0.0203894011798408,0.0108959413512268,-0.0450377329529479,0.0042589305932661,-0.1309276926271433,0.01273717356349,-0.1597411810375963,-0.1021142042166903,0.1279068678437664,0.025997351203317,0.0690967736054021,0.1867169620821306,-0.020182942907384538,-0.044038590094345964,0.004268012726980297,-0.08064291158281275,-0.09701665727533315,-0.06379051852300512,0.04665243021089072,0.024460093442659994,0.07018904142627687,0.013807538464537493,0.04665243021089072,0.01010155250718645,0.02685338729680528,0.06645147312497617,0.08064291158281275,0.0073428898440596815,0.06625084748845578,0.09503497567716973,True,False,0.0,0.08064291158281275,-0.04665243021089072,0.04665243021089072,0.020182942907384538,0.0,True,0.053553148036599496,0.013262934121739097,0.006900717825708774
Nordeste,nordeste,8,0.6571357894931394,0.34190840539829986,0.0009558051085606615,1222,28188801,0.0069587527648879,0.0138370594404951,-0.0243428503604926,0.0382603558902686,-0.1125217699020651,0.0134392409828605,-0.1429234451540144,-0.0821200946501159,0.0308967306785974,0.0330885686044922,-0.0439548117967945,0.1057482731539893,0.006983021144802315,-0.024048952776761445,0.03900170788173596,-0.0699337747815097,-0.08751706472849025,-0.0518077146060972,0.010728739947878227,-0.014703018269641857,0.038137159771462044,0.06618805597843379,0.010728739947878227,0.0116682583762793,0.0,0.033598526365385656,0.0699337747815097,0.007891549381330788,0.05446633799410135,0.08540121156891804,True,False,0.0,0.0699337747815097,-0.010728739947878227,0.010728739947878227,-0.006983021144802315,0.0,False,0.008341186323396256,-0.0045887931130369555,-0.0023875536244819698
