outcome,outcome_label,event_time,log_coefficient,levels_normalized_coefficient,implied_share_effect,difference
N,Total voters,-8,-0.0159953101600331,-0.017254761996796,-0.015868064534254045,-0.0013866974625419554
N,Total voters,-6,-0.0083248534573704,-0.0101431744899075,-0.008290297821514359,-0.001852876668393141
N,Total voters,-4,-0.0026399361114096,-0.004079510824081,-0.0026364545444520493,-0.001443056279628951
N,Total voters,-2,0.0,0.0,0.0,0.0
N,Total voters,0,-0.1153540797441122,-0.126166455375494,-0.10894941491952237,-0.01721704045597164
N,Total voters,2,-0.0703269530412557,-0.0770679152927875,-0.06791097925889589,-0.009156936033891616
N,Total voters,4,-0.0440931356697116,-0.0479355853382828,-0.0431351649243642,-0.0048004204139186005
N,Total voters,6,-0.0016822882525838,-0.0038095775145429,-0.0016808739988734,-0.0021287035156694997
N,Total voters,8,0.0270477075202573,0.0350770468835633,0.027416817102918323,0.007660229780644977
L,Low-education voters,-8,-0.0273511144099144,-0.0216385770789151,-0.015945451648423457,-0.005693125430491643
L,Low-education voters,-6,-0.0135565541368859,-0.0103445392888448,-0.007957861033567312,-0.002386678255277488
L,Low-education voters,-4,-0.0051435609622426,-0.0040620412728196,-0.0030320401024416972,-0.0010300011703779028
L,Low-education voters,-2,0.0,0.0,0.0,0.0
L,Low-education voters,0,-0.2590832284586218,-0.1797817674747271,-0.13489055624691113,-0.044891211227815975
L,Low-education voters,2,-0.1964407844900898,-0.1412389570864771,-0.10540485929198534,-0.03583409779449176
L,Low-education voters,4,-0.1494229951081948,-0.1090985174699722,-0.08202799130489571,-0.02707052616507649
L,Low-education voters,6,-0.0920398552635131,-0.0713802454702577,-0.05196734033566138,-0.01941290513459632
L,Low-education voters,8,-0.0682394800073386,-0.0510545555997223,-0.03898427267679782,-0.012070282922924482
H,High-education voters,-8,-0.0404007439504971,0.0045647858962156,-0.016154969819748864,0.020719755715964464
H,High-education voters,-6,-0.0199565880730801,0.0002936207951910886,-0.0080615795702193,0.008355200365410388
H,High-education voters,-4,-0.009594715739975,2.8480738147290797e-05,-0.003895923992563034,0.003924404730710325
H,High-education voters,-2,0.0,0.0,0.0,0.0
H,High-education voters,0,0.1553946414536716,0.054398149041969,0.06859249417777913,-0.014194345135810131
H,High-education voters,2,0.1730439220170991,0.0647421615640152,0.07707867604030222,-0.012336514476287017
H,High-education voters,4,0.155073268215174,0.0615348498033076,0.06843935471326243,-0.0069045049099548325
H,High-education voters,6,0.245653918785525,0.0676388687297792,0.11361047517747416,-0.04597160644769496
H,High-education voters,8,0.1617477333383725,0.086140682959055,0.07162996854524473,0.014510714413810272
