event_time,term,estimate,std.error,statistic,p.value,conf.low,conf.high,region,region_slug,outcome
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,0.0629708827266211,0.0215990103268973,2.9154522255218,0.0171583215652181,0.0141105268062779,0.1118312386469643,Norte,norte,log_num_voters
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,0.0210971953756311,0.0196130795334037,1.0756696998908155,0.31006408476654,-0.023270672975389,0.0654650637266512,Norte,norte,log_num_voters
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,0.0161894343088492,0.0212754903369328,0.7609429466706799,0.4661596208650179,-0.0319390685488873,0.0643179371665858,Norte,norte,log_num_voters
-2,(reference period),0.0,,,,,,Norte,norte,log_num_voters
0,fixest::.__event_time_plot__::0:.__ever_treated__,-0.0959214292089462,0.0274131692063595,-3.499100322435305,0.0067330377455132,-0.1579343262841116,-0.0339085321337808,Norte,norte,log_num_voters
2,fixest::.__event_time_plot__::2:.__ever_treated__,-0.0382166578416169,0.0321501206180962,-1.1886940735179077,0.2649779021393496,-0.1109452834826696,0.0345119677994357,Norte,norte,log_num_voters
4,fixest::.__event_time_plot__::4:.__ever_treated__,0.0145239062503582,0.0362822862422196,0.4003029509606151,0.6982688236234487,-0.0675523274551737,0.0966001399558902,Norte,norte,log_num_voters
6,fixest::.__event_time_plot__::6:.__ever_treated__,-0.0383867020140332,0.0381144897855392,-1.007141961758524,0.3401751920204972,-0.1246076680887899,0.0478342640607234,Norte,norte,log_num_voters
8,fixest::.__event_time_plot__::8:.__ever_treated__,-0.0460421642240232,0.0553169716284197,-0.8323334208044125,0.42675403492317,-0.171177847817558,0.0790935193695115,Norte,norte,log_num_voters
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,0.0186313599997031,0.008563113010785,2.1757694866618347,0.0575699149807289,-0.0007397474334948397,0.0380024674329011,Norte,norte,pct_voters_low_ed
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,0.005728202680517,0.004799335726413,1.1935407329376904,0.2631687470737551,-0.0051286490096615,0.0165850543706956,Norte,norte,pct_voters_low_ed
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,0.0015734574570831,0.0023094305079081,0.6813183820405766,0.5128177612944431,-0.003650837308366,0.0067977522225322,Norte,norte,pct_voters_low_ed
-2,(reference period),0.0,,,,,,Norte,norte,pct_voters_low_ed
0,fixest::.__event_time_plot__::0:.__ever_treated__,-0.1066119035032288,0.0116531669946985,-9.148749310100015,7.46507048685962e-06,-0.1329731986895698,-0.0802506083168878,Norte,norte,pct_voters_low_ed
2,fixest::.__event_time_plot__::2:.__ever_treated__,-0.100951445453838,0.0071506036536783,-14.117891347803528,1.9074447434472065e-07,-0.1171272347273375,-0.0847756561803385,Norte,norte,pct_voters_low_ed
4,fixest::.__event_time_plot__::4:.__ever_treated__,-0.0873435537947193,0.0095928028922909,-9.105112945134245,7.763587842678982e-06,-0.1090439815688265,-0.065643126020612,Norte,norte,pct_voters_low_ed
