term,estimate,std.error,statistic,p.value,conf.low,conf.high
.__time_id__::-18,-0.038086721585443906,0.1808380857595446,-0.21061228018132622,0.8332051925390654,-0.39267651936234077,0.31650307619145296
.__time_id__::-16,-0.034828459212008674,0.16810699125951245,-0.2071803138647744,0.8358841442423652,-0.3644549523549053,0.294798033930888
.__time_id__::-14,-0.013088619850981819,0.15488882217310002,-0.08450332094561538,0.9326623187931504,-0.3167967458333013,0.2906195061313377
.__time_id__::-12,-0.02038695643173971,0.13814799095421068,-0.14757331099007434,0.8826901710304562,-0.2912694310497983,0.2504955181863189
.__time_id__::-10,-0.02522111011096022,0.06954601992324709,-0.36265353702188763,0.7168911520009196,-0.16158789942525523,0.11114567920333478
.__time_id__::-8,-0.026797979860918374,0.02710495401854935,-0.988674610647895,0.3229080092232718,-0.07994574529883154,0.026349785576994796
.__time_id__::-6,-0.04176426988593911,0.003938352646430689,-10.604502347901699,8.721754029818085e-26,-0.04948664574833821,-0.03404189402354002
.__time_id__::-4,-0.017530445654811738,0.003267657510614732,-5.364835695866365,8.765689236962348e-8,-0.023937713299934337,-0.01112317800968914
.__time_id__::0,-0.11310969347320882,0.004846626939700341,-23.33781718305767,3.342359849036728e-110,-0.12261302602193715,-0.10360636092448049
.__time_id__::2,-0.053825530754307876,0.006743302979380914,-7.982072126803573,2.0814141820261053e-15,-0.06704789168433017,-0.04060316982428558
.__time_id__::4,-0.011254791462773332,0.012676102563886368,-0.8878747553556181,0.3746845774781785,-0.03611026715446089,0.013600684228914228
.__time_id__::6,-0.005628287963953316,0.010389362080285375,-0.5417356638896464,0.5880438293108278,-0.02599989156507644,0.01474331563716981
