term,estimate,std.error,statistic,p.value,conf.low,conf.high
.__time_id__::-18,0.05972629908393704,0.025981340348299166,2.2988151605445153,0.02158893734027345,0.008781730734955348,0.11067086743291873
.__time_id__::-16,0.06163995116578563,0.02333748568412067,2.6412421629347493,0.008306299167006755,0.015879489288540785,0.10740041304303047
.__time_id__::-14,0.0456552014559777,0.022920305720068045,1.9919106670555422,0.0464780744065292,7.127517716217432e-4,0.09059765114033366
.__time_id__::-12,0.03816664622237146,0.021645708815442297,1.763243077313455,0.07796883392300133,-0.004276556377168193,0.0806098488219111
.__time_id__::-10,0.048168511868328344,0.011681586781538526,4.1234562366521494,3.841142744075604e-5,0.02526309635709169,0.071073927379565
.__time_id__::-8,0.057383739573452705,0.005555655094221081,10.328888060949376,1.4353421079869381e-24,0.046490134898840824,0.06827734424806459
.__time_id__::-6,0.0562334525560265,0.002343965272972439,23.99073621287721,8.408752486742293e-116,0.051637373313933005,0.06082953179811999
.__time_id__::-4,0.018256902174879897,5.101392709865027e-4,35.788074381285846,3.201164561058492e-231,0.017256614098519245,0.01925719025124055
.__time_id__::0,0.08342267348275885,9.382652880565345e-4,88.91160585888825,0,0.08158291004268667,0.08526243692283103
.__time_id__::2,0.05760037731557894,0.0010281581164492916,56.02287857678919,0,0.05558435078519864,0.05961640384595924
.__time_id__::4,0.003431410515221935,0.001993650383111695,1.7211696415226927,0.08533078622174232,-4.777664881521859e-4,0.007340587518596056
.__time_id__::6,0.0017995806242070284,0.001873965523103898,0.9603061539928098,0.33698427771857065,-0.001874916664831082,0.005474077913245138
