term,estimate,std.error,statistic,p.value,conf.low,conf.high
.__time_id__::-18,-0.061263331828723844,0.02599686250715755,-2.3565663668781798,0.01851346449558111,-0.1122383362395978,-0.010288327417849893
.__time_id__::-16,-0.06288697268281952,0.023353585449723636,-2.692818745892559,0.007127395087297846,-0.10867900320118017,-0.01709494216445888
.__time_id__::-14,-0.04673568318070601,0.022936180096787415,-2.037640225333429,0.04167998685395069,-0.09170925956056482,-0.0017621068008472074
.__time_id__::-12,-0.039058276913758815,0.02166102303341797,-1.803159382338539,0.07147092306905732,-0.08153150784185711,0.0034149540143394927
.__time_id__::-10,-0.0484789211991892,0.01169034883853361,-4.146918271539808,3.47024696204751e-5,-0.0714015174719062,-0.025556324926472203
.__time_id__::-8,-0.057425052050051724,0.005560074778561627,-10.328107864928283,1.4466295797810141e-24,-0.0683273229023107,-0.04652278119779275
.__time_id__::-6,-0.05594328104445926,0.0023453521524261648,-23.852827809499043,1.3058983132285324e-114,-0.0605420796987992,-0.05134448239011932
.__time_id__::-4,-0.018158240548023428,5.095514678521273e-4,-35.63573396140816,1.3447228265466908e-229,-0.019157376051939644,-0.017159105044107212
.__time_id__::0,-0.08270359950079566,9.390212280493817e-4,-88.07425969761611,0,-0.08454484519836945,-0.08086235380322186
.__time_id__::2,-0.057135950050459856,0.001028554195698803,-55.54977101779407,0,-0.05915275321846269,-0.055119146882457025
.__time_id__::4,-0.0034219911269058436,0.001993693367316416,-1.716407940661391,0.08619828646761886,-0.007331252414297878,4.872701604861909e-4
.__time_id__::6,-0.0017995806244735513,0.001873965523102889,-0.960306154135551,0.33698427764676464,-0.005474077913509683,0.0018749166645625802
