outcome,estimator,success,log
log_num_voters,twfe_dynamic,True,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
NOTE: 1/0 fixed-effect singleton was removed (1 observation).
Finished `twfe_dynamic`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/did/estimator_comparison/log_num_voters/twfe_dynamic"
log_num_voters,callaway_santanna,True,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
Warning message:
In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  Be aware that there are some small groups in your dataset.
  Check groups: 2008.
Finished `callaway_santanna`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/did/estimator_comparison/log_num_voters/callaway_santanna"
log_num_voters,bjs,True,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
Warning message:
In eval(sub, parent.frame(), parent.frame()) : NAs introduced by coercion
Finished `bjs`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/did/estimator_comparison/log_num_voters/bjs"
log_num_voters,sun_abraham,True,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
NOTE: 27,746 observations removed because of NA values (RHS: 27,746).
The variables 'fixest:::.__time_id__::-8:cohort::2008',
'fixest:::.__time_id__::-6:cohort::2008',
'fixest:::.__time_id__::-4:cohort::2008',
'fixest:::.__time_id__::4:cohort::2014',
'fixest:::.__time_id__::6:cohort::2008', 'fixest:::.__time_id__::6:cohort::2012'
and 3 others have been removed because of collinearity (see $collin.var).
Finished `sun_abraham`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/did/estimator_comparison/log_num_voters/sun_abraham"
pct_voters_low_ed,twfe_dynamic,True,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
NOTE: 1/0 fixed-effect singleton was removed (1 observation).
Finished `twfe_dynamic`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/did/estimator_comparison/pct_voters_low_ed/twfe_dynamic"
pct_voters_low_ed,callaway_santanna,True,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
Warning message:
In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  Be aware that there are some small groups in your dataset.
  Check groups: 2008.
Finished `callaway_santanna`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/did/estimator_comparison/pct_voters_low_ed/callaway_santanna"
pct_voters_low_ed,bjs,True,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
Warning message:
In eval(sub, parent.frame(), parent.frame()) : NAs introduced by coercion
Finished `bjs`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/did/estimator_comparison/pct_voters_low_ed/bjs"
pct_voters_low_ed,sun_abraham,True,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
NOTE: 27,746 observations removed because of NA values (RHS: 27,746).
The variables 'fixest:::.__time_id__::-8:cohort::2008',
'fixest:::.__time_id__::-6:cohort::2008',
'fixest:::.__time_id__::-4:cohort::2008',
'fixest:::.__time_id__::4:cohort::2014',
'fixest:::.__time_id__::6:cohort::2008', 'fixest:::.__time_id__::6:cohort::2012'
and 3 others have been removed because of collinearity (see $collin.var).
Finished `sun_abraham`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/did/estimator_comparison/pct_voters_low_ed/sun_abraham"
pct_voters_high_ed,twfe_dynamic,True,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
NOTE: 1/0 fixed-effect singleton was removed (1 observation).
Finished `twfe_dynamic`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/did/estimator_comparison/pct_voters_high_ed/twfe_dynamic"
pct_voters_high_ed,callaway_santanna,True,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
Warning message:
In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  Be aware that there are some small groups in your dataset.
  Check groups: 2008.
Finished `callaway_santanna`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/did/estimator_comparison/pct_voters_high_ed/callaway_santanna"
