"category","outcome","outcome_label","term","estimate","std_error","p_value","ci95_low","ci95_high","n_obs","formula","cluster"
"Female","z_score_pca1_dem","Trust in democracy","factor(treatment_dummy)1",0.106760354578893,0.0813997959201339,0.237619365690831,-0.0924177707388645,0.305938479896651,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Female","z_score_pca1_dem","Trust in democracy","factor(female)1",-0.131752086222294,0.0257172915779741,0.00217164272702053,-0.194680031763789,-0.0688241406807982,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Female","z_score_pca1_dem","Trust in democracy","factor(low_ed)1",-0.0221982072640577,0.0346402716482619,0.545321200301865,-0.106959898487071,0.0625634839589553,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Female","z_score_pca1_dem","Trust in democracy","factor(white)1",0.00171662408280094,0.0270163432031801,0.951400307702541,-0.0643899862756603,0.0678232344412621,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Female","z_score_pca1_dem","Trust in democracy","factor(married)1",0.0537865065908972,0.0316138831573229,0.139777512557078,-0.0235698787674686,0.131142891949263,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Female","z_score_pca1_dem","Trust in democracy","factor(working)1",-0.0065256674945705,0.0219398606931278,0.776164264489405,-0.0602105726370546,0.0471592376479136,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Female","z_score_pca1_dem","Trust in democracy","age",0.00367896377505727,0.000803370940888187,0.0037728738371801,0.00171318589893249,0.00564474165118206,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Female","z_score_pca1_dem","Trust in democracy","log_gdp_pc",-0.0123929904535344,0.193390370329987,0.95098598129552,-0.485602179511295,0.460816198604226,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Female","z_score_pca1_dem","Trust in democracy","log_total_pop",0.0964855620269629,0.69764178797795,0.894526300464191,-1.61058239683025,1.80355352088417,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Female","z_score_pca1_dem","Trust in democracy","factor(treatment_dummy)1:factor(female)1",-0.0157342215912731,0.0791797061750544,0.849047898183385,-0.20947998300119,0.178011539818644,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"White","z_score_pca1_dem","Trust in democracy","factor(treatment_dummy)1",0.0892184416676849,0.0758974366607223,0.284318189472727,-0.0964958955689612,0.274932778904331,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(white) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"White","z_score_pca1_dem","Trust in democracy","factor(white)1",-0.00430067153264562,0.0246036066552735,0.86698734336364,-0.0645035282383436,0.0559021851730524,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(white) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"White","z_score_pca1_dem","Trust in democracy","factor(low_ed)1",-0.0224659221337707,0.0345835069218227,0.539999000422539,-0.107088715074933,0.0621568708073912,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(white) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"White","z_score_pca1_dem","Trust in democracy","factor(female)1",-0.134512242301851,0.0283409160373685,0.00317103778325861,-0.203859965625992,-0.0651645189777094,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(white) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
