"outcome","sample","event_time","term","estimate","std_error","p_value","n_obs"
"trust_index_std","all",-8,"event_m8",0.257468851662719,0.109018694133579,0.0212957950916856,2425
"trust_index_std","all",-6,"event_m6",0.417955145556561,0.132439101174022,0.00245465100750307,2425
"trust_index_std","all",-4,"event_m4",-0.0680929233449407,0.126781027609536,0.593096812371022,2425
"trust_index_std","all",0,"event_p0",0.396059866201765,0.143873238988142,0.00770900660089743,2425
"trust_index_std","all",2,"event_p2",0.0830692938129486,0.106896860885307,0.4400094148667,2425
"trust_index_std","all",4,"event_p4",0.596213299550766,0.0992553386440312,1.03333601873104e-07,2425
"trust_index_std","all",6,"event_p6",0.376249975348866,0.117423375067666,0.00212624345105122,2425
"trust_index_std","all",8,"event_p8",0.280411112173146,0.107650884753075,0.0114539735098899,2425
"trust_index_std","no_hybrid",-8,"event_m8",0.257468851662719,0.109018694133579,0.0212957950916856,2425
"trust_index_std","no_hybrid",-6,"event_m6",0.417955145556561,0.132439101174022,0.00245465100750307,2425
"trust_index_std","no_hybrid",-4,"event_m4",-0.0680929233449407,0.126781027609536,0.593096812371022,2425
"trust_index_std","no_hybrid",0,"event_p0",0.396059866201765,0.143873238988142,0.00770900660089743,2425
"trust_index_std","no_hybrid",2,"event_p2",0.0830692938129486,0.106896860885307,0.4400094148667,2425
"trust_index_std","no_hybrid",4,"event_p4",0.596213299550766,0.0992553386440312,1.03333601873104e-07,2425
"trust_index_std","no_hybrid",6,"event_p6",0.376249975348866,0.117423375067666,0.00212624345105122,2425
"trust_index_std","no_hybrid",8,"event_p8",0.280411112173146,0.107650884753075,0.0114539735098899,2425
"democracy_index_std","all",-8,"event_m8",-0.248535769686138,0.181350643591764,0.175403554687347,2425
"democracy_index_std","all",-6,"event_m6",0.209046872010763,0.130239322479957,0.113473873463072,2425
"democracy_index_std","all",-4,"event_m4",-0.538658084627864,0.189542639707114,0.00603591244732238,2425
"democracy_index_std","all",0,"event_p0",0.192678982694994,0.136208047139019,0.162111354307834,2425
"democracy_index_std","all",2,"event_p2",0.183236733519338,0.144633841449901,0.20985436739021,2425
"democracy_index_std","all",4,"event_p4",0.291096997938097,0.148491627741933,0.0543793763672919,2425
"democracy_index_std","all",6,"event_p6",0.524891359811036,0.224375101974911,0.0225014107737841,2425
"democracy_index_std","all",8,"event_p8",0.386047626064941,0.110834043921486,0.000906850397426458,2425
"democracy_index_std","no_hybrid",-8,"event_m8",-0.248535769686138,0.181350643591764,0.175403554687347,2425
"democracy_index_std","no_hybrid",-6,"event_m6",0.209046872010763,0.130239322479957,0.113473873463072,2425
"democracy_index_std","no_hybrid",-4,"event_m4",-0.538658084627864,0.189542639707114,0.00603591244732238,2425
"democracy_index_std","no_hybrid",0,"event_p0",0.192678982694994,0.136208047139019,0.162111354307834,2425
"democracy_index_std","no_hybrid",2,"event_p2",0.183236733519338,0.144633841449901,0.20985436739021,2425
"democracy_index_std","no_hybrid",4,"event_p4",0.291096997938097,0.148491627741933,0.0543793763672919,2425
"democracy_index_std","no_hybrid",6,"event_p6",0.524891359811036,0.224375101974911,0.0225014107737841,2425
"democracy_index_std","no_hybrid",8,"event_p8",0.386047626064941,0.110834043921486,0.000906850397426458,2425
