"category","outcome","outcome_label","term","estimate","std_error","p_value","ci95_low","ci95_high","n_obs","formula","cluster"
"Female","z_score_pca1_trust","Trust in institutions","factor(treatment_dummy)1",0.00302364089223819,0.0496269995154785,0.953395858576884,-0.118409252358952,0.124456534143428,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Female","z_score_pca1_trust","Trust in institutions","factor(female)1",-0.0305331307519609,0.0368680922804019,0.439265543036715,-0.120746102681983,0.0596798411780607,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Female","z_score_pca1_trust","Trust in institutions","factor(low_ed)1",0.0885805807547648,0.0404395996248752,0.0710315590949191,-0.0103715548229,0.18753271633243,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Female","z_score_pca1_trust","Trust in institutions","factor(white)1",-0.0477426612331538,0.0172716948912898,0.0326714197511547,-0.0900049761520108,-0.00548034631429677,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Female","z_score_pca1_trust","Trust in institutions","factor(married)1",0.040948736041927,0.0353073970418762,0.290200698119735,-0.0454453522129207,0.127342824296775,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Female","z_score_pca1_trust","Trust in institutions","factor(working)1",-0.0558530970881122,0.0174495368917011,0.0185804661309449,-0.0985505757054069,-0.0131556184708174,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Female","z_score_pca1_trust","Trust in institutions","age",0.00327402634328271,0.00078720554301546,0.00595070720793003,0.00134780377079117,0.00520024891577424,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Female","z_score_pca1_trust","Trust in institutions","log_gdp_pc",-0.0493431560205192,0.170187381018218,0.7816255262179,-0.465776675549321,0.367090363508283,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Female","z_score_pca1_trust","Trust in institutions","log_total_pop",-0.102719775036315,0.576825323119392,0.864522160975254,-1.51416049421768,1.30872094414505,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Female","z_score_pca1_trust","Trust in institutions","factor(treatment_dummy)1:factor(female)1",0.0822245439976678,0.0562763283736822,0.194297559158768,-0.055478670838821,0.219927758834157,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(female) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"White","z_score_pca1_trust","Trust in institutions","factor(treatment_dummy)1",0.0549311452252406,0.0362756924995451,0.180730092327698,-0.0338322766603871,0.143694567110868,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(white) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"White","z_score_pca1_trust","Trust in institutions","factor(white)1",-0.0412386212279525,0.0182890197650382,0.0650083120720896,-0.085990240436849,0.00351299798094395,10632,"z_score_pca1_trust ~ factor(treatment_dummy) * factor(white) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
