"term","estimate","std_error","t_value","p_value","ci95_low","ci95_high"
"factor(treatment_dummy)1",0.119937678235173,0.077872526668542,1.54017961617809,0.174445810407639,-0.0706095301486847,0.310484886619032
"factor(low_ed)1",0.0650893256934929,0.0399415349344231,1.62961503107875,0.154305375070032,-0.0326440894904676,0.162822740877453
"muni_exit_rate_active",-1.23945767041428,0.658076150382717,-1.88345629862661,0.10863321858582,-2.84971200174161,0.37079666091305
"factor(female)1",-0.015565336161105,0.0334352047339586,-0.465537336617413,0.657965107912808,-0.0973783348700866,0.0662476625478766
"factor(white)1",-0.0507545160121309,0.0183137124036454,-2.77139418231926,0.0323627946460618,-0.0955665559310714,-0.00594247609319039
"factor(married)1",0.0396408163951691,0.0351459274727493,1.12789216975153,0.302438168342498,-0.0463581700573827,0.125639802847721
"factor(working)1",-0.0539041255795902,0.018510183700629,-2.91213347481572,0.0269055211872824,-0.0991969134435297,-0.00861133771565057
"age",0.00328700802531888,0.000978518981666055,3.35916633903445,0.0152453493591011,0.000892658332509906,0.00568135771812786
"log_gdp_pc",-0.0442273340899503,0.18270267156491,-0.242072727843158,0.816785524483506,-0.491284666377976,0.402829998198075
"log_total_pop",-0.157118731053001,0.573993299644584,-0.273729207553971,0.793471790271676,-1.56162973843114,1.24739227632514
"factor(treatment_dummy)1:factor(low_ed)1",0.0375433960877437,0.0459172126019579,0.817632298658802,0.444814612260484,-0.0748119755995301,0.149898767775018
"factor(low_ed)1:muni_exit_rate_active",0.78990873087902,0.54203927700488,1.45729057725075,0.195301063115897,-0.536413599810271,2.11623106156831
