"term","estimate","std_error","t_value","p_value","ci95_low","ci95_high"
"factor(treatment_dummy)1",0.119937678235172,0.0778725266685421,1.54017961617808,0.174445810407643,-0.0706095301486861,0.31048488661903
"factor(low_ed)1",0.0650893256934929,0.0399415349344221,1.62961503107879,0.154305375070024,-0.0326440894904654,0.162822740877451
"factor(female)1",-0.015565336161105,0.0334352047339568,-0.465537336617439,0.657965107912791,-0.0973783348700822,0.0662476625478722
"factor(white)1",-0.050754516012131,0.0183137124036453,-2.77139418231927,0.0323627946460613,-0.0955665559310714,-0.00594247609319059
"factor(married)1",0.0396408163951691,0.035145927472749,1.12789216975154,0.302438168342495,-0.046358170057382,0.12563980284772
"factor(working)1",-0.0539041255795902,0.0185101837006286,-2.91213347481579,0.0269055211872799,-0.0991969134435286,-0.00861133771565166
"age",0.00328700802531889,0.000978518981666036,3.35916633903452,0.0152453493590998,0.000892658332509954,0.00568135771812782
"log_gdp_pc",-0.0442273340899475,0.182702671564922,-0.242072727843126,0.816785524483529,-0.491284666378002,0.402829998198107
"log_total_pop",-0.157118731052988,0.57399329964446,-0.273729207554008,0.793471790271649,-1.56162973843082,1.24739227632485
"factor(treatment_dummy)1:factor(low_ed)1",0.0375433960877426,0.045917212601958,0.817632298658775,0.444814612260498,-0.0748119755995316,0.149898767775017
"treatment_dummy:muni_exit_rate_at_treatment_control",-1.23945767041428,0.658076150382699,-1.88345629862665,0.108633218585813,-2.84971200174156,0.37079666091301
"factor(low_ed)1:treatment_dummy:muni_exit_rate_at_treatment_control",0.78990873087903,0.542039277004877,1.45729057725077,0.19530106311589,-0.536413599810254,2.11623106156831
