raw_age_code,raw_age_label,assigned_age_band,assignment_rule
1600,16 anos,age_16_30,whole raw TSE age bin assigned by midpoint
1700,17 anos,age_16_30,whole raw TSE age bin assigned by midpoint
1800,18 anos,age_16_30,whole raw TSE age bin assigned by midpoint
1900,19 anos,age_16_30,whole raw TSE age bin assigned by midpoint
2000,20 anos,age_16_30,whole raw TSE age bin assigned by midpoint
2124,21 a 24 anos,age_16_30,whole raw TSE age bin assigned by midpoint
2529,25 a 29 anos,age_16_30,whole raw TSE age bin assigned by midpoint
3034,30 a 34 anos,age_31_45,whole raw TSE age bin assigned by midpoint
3539,35 a 39 anos,age_31_45,whole raw TSE age bin assigned by midpoint
4044,40 a 44 anos,age_31_45,whole raw TSE age bin assigned by midpoint
4549,45 a 49 anos,age_46_60,whole raw TSE age bin assigned by midpoint
5054,50 a 54 anos,age_46_60,whole raw TSE age bin assigned by midpoint
5559,55 a 59 anos,age_46_60,whole raw TSE age bin assigned by midpoint
6064,60 a 64 anos,age_60_plus,whole raw TSE age bin assigned by midpoint
6569,65 a 69 anos,age_60_plus,whole raw TSE age bin assigned by midpoint
7074,70 a 74 anos,age_60_plus,whole raw TSE age bin assigned by midpoint
7579,75 a 79 anos,age_60_plus,whole raw TSE age bin assigned by midpoint
8084,80 a 84 anos,age_60_plus,whole raw TSE age bin assigned by midpoint
8589,85 a 89 anos,age_60_plus,whole raw TSE age bin assigned by midpoint
9094,90 a 94 anos,age_60_plus,whole raw TSE age bin assigned by midpoint
9599,95 a 99 anos,age_60_plus,whole raw TSE age bin assigned by midpoint
9999,100 anos ou mais,age_60_plus,whole raw TSE age bin assigned by midpoint
