year,state,tse_municipality_id,municipality_name_raw,municipality_name,matched_municipality_id,matched_name_crosswalk,match_method
2008,AC,01120,ACRELÂNDIA,acrelandia,1200013,acrelandia,exact_state_name_fallback
2008,AC,01570,ASSIS BRASIL,assis brasil,1200054,assis brasil,exact_state_name_fallback
2008,AC,01058,BRASILÉIA,brasileia,1200104,brasileia,exact_state_name_fallback
2008,AC,01007,BUJARI,bujari,1200138,bujari,exact_state_name_fallback
2008,AC,01015,CAPIXABA,capixaba,1200179,capixaba,exact_state_name_fallback
2008,AC,01074,CRUZEIRO DO SUL,cruzeiro do sul,1200203,cruzeiro do sul,exact_state_name_fallback
2008,AC,01112,EPITACIOLÂNDIA,epitaciolandia,1200252,epitaciolandia,exact_state_name_fallback
2008,AC,01139,FEIJÓ,feijo,1200302,feijo,exact_state_name_fallback
2008,AC,01104,JORDÃO,jordao,1200328,jordao,exact_state_name_fallback
2008,AC,01090,MÂNCIO LIMA,mancio lima,1200336,mancio lima,exact_state_name_fallback
2008,AC,01554,MANOEL URBANO,manoel urbano,1200344,manoel urbano,exact_state_name_fallback
2008,AC,01040,MARECHAL THAUMATURGO,marechal thaumaturgo,1200351,marechal thaumaturgo,exact_state_name_fallback
2008,AC,01511,PLÁCIDO DE CASTRO,placido de castro,1200385,placido de castro,exact_state_name_fallback
2008,AC,01023,PORTO ACRE,porto acre,1200807,porto acre,exact_state_name_fallback
2008,AC,01066,PORTO WALTER,porto walter,1200393,porto walter,exact_state_name_fallback
2008,AC,01392,RIO BRANCO,rio branco,1200401,rio branco,exact_state_name_fallback
2008,AC,01082,RODRIGUES ALVES,rodrigues alves,1200427,rodrigues alves,exact_state_name_fallback
2008,AC,01031,SANTA ROSA DO PURUS,santa rosa do purus,1200435,santa rosa do purus,exact_state_name_fallback
2008,AC,01457,SENA MADUREIRA,sena madureira,1200500,sena madureira,exact_state_name_fallback
2008,AC,01538,SENADOR GUIOMARD,senador guiomard,1200450,senador guiomard,exact_state_name_fallback
2008,AC,01473,TARAUACÁ,tarauaca,1200609,tarauaca,exact_state_name_fallback
2008,AC,01490,XAPURI,xapuri,1200708,xapuri,exact_state_name_fallback
2008,AL,27014,ÁGUA BRANCA,agua branca,2700102,agua branca,direct_code_year_state
2008,AL,27030,ANADIA,anadia,2700201,anadia,direct_code_year_state
2008,AL,27057,ARAPIRACA,arapiraca,2700300,arapiraca,direct_code_year_state
2008,AL,27073,ATALAIA,atalaia,2700409,atalaia,direct_code_year_state
2008,AL,27090,BARRA DE SANTO ANTÔNIO,barra de santo antonio,2700508,barra de santo antonio,direct_code_year_state
2008,AL,27111,BARRA DE SÃO MIGUEL,barra de sao miguel,2700607,barra de sao miguel,direct_code_year_state
2008,AL,27138,BATALHA,batalha,2700706,batalha,direct_code_year_state
2008,AL,27154,BELÉM,belem,2700805,belem,direct_code_year_state
2008,AL,27170,BELO MONTE,belo monte,2700904,belo monte,direct_code_year_state
2008,AL,27197,BOCA DA MATA,boca da mata,2701001,boca da mata,direct_code_year_state
2008,AL,27219,BRANQUINHA,branquinha,2701100,branquinha,direct_code_year_state
2008,AL,27235,CACIMBINHAS,cacimbinhas,2701209,cacimbinhas,direct_code_year_state
2008,AL,27251,CAJUEIRO,cajueiro,2701308,cajueiro,direct_code_year_state
2008,AL,27081,CAMPESTRE,campestre,2701357,campestre,direct_code_year_state
2008,AL,27278,CAMPO ALEGRE,campo alegre,2701407,campo alegre,direct_code_year_state
2008,AL,27294,CAMPO GRANDE,campo grande,2701506,campo grande,direct_code_year_state
2008,AL,27316,CANAPI,canapi,2701605,canapi,direct_code_year_state
2008,AL,27332,CAPELA,capela,2701704,capela,direct_code_year_state
2008,AL,27359,CARNEIROS,carneiros,2701803,carneiros,direct_code_year_state
2008,AL,27375,CHÃ PRETA,cha preta,2701902,cha preta,direct_code_year_state
2008,AL,27391,COITÉ DO NÓIA,coite do noia,2702009,coite do noia,direct_code_year_state
2008,AL,27413,COLÔNIA LEOPOLDINA,colonia leopoldina,2702108,colonia leopoldina,direct_code_year_state
2008,AL,27430,COQUEIRO SECO,coqueiro seco,2702207,coqueiro seco,direct_code_year_state
2008,AL,27456,CORURIPE,coruripe,2702306,coruripe,direct_code_year_state
2008,AL,28894,CRAÍBAS,craibas,2702355,craibas,direct_code_year_state
2008,AL,27472,DELMIRO GOUVEIA,delmiro gouveia,2702405,delmiro gouveia,direct_code_year_state
