outcome,success,config,output_dir,returncode,stdout,stderr
log_num_voters_age_16_30,True,resources/regressions/did_cs_age_education/configs/log_num_voters_age_16_30.yml,resources/regressions/did_cs_log_num_voters_age_16_30,0,,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
Warning messages:
1: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  dropped 22 rows from original data due to missing data
2: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  Dropped 3 units that were already treated in the first period.
Finished `callaway_santanna`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/regressions/did_cs_age_education/log_num_voters_age_16_30"
log_num_voters_age_31_45,True,resources/regressions/did_cs_age_education/configs/log_num_voters_age_31_45.yml,resources/regressions/did_cs_log_num_voters_age_31_45,0,,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
Warning messages:
1: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  dropped 22 rows from original data due to missing data
2: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  Dropped 3 units that were already treated in the first period.
Finished `callaway_santanna`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/regressions/did_cs_age_education/log_num_voters_age_31_45"
log_num_voters_age_46_60,True,resources/regressions/did_cs_age_education/configs/log_num_voters_age_46_60.yml,resources/regressions/did_cs_log_num_voters_age_46_60,0,,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
Warning messages:
1: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  dropped 22 rows from original data due to missing data
2: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  Dropped 3 units that were already treated in the first period.
Finished `callaway_santanna`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/regressions/did_cs_age_education/log_num_voters_age_46_60"
log_num_voters_age_60_plus,True,resources/regressions/did_cs_age_education/configs/log_num_voters_age_60_plus.yml,resources/regressions/did_cs_log_num_voters_age_60_plus,0,,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
Warning messages:
1: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  dropped 22 rows from original data due to missing data
2: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  Dropped 3 units that were already treated in the first period.
Finished `callaway_santanna`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/regressions/did_cs_age_education/log_num_voters_age_60_plus"
log_num_voters_high_ed_age_16_30,True,resources/regressions/did_cs_age_education/configs/log_num_voters_high_ed_age_16_30.yml,resources/regressions/did_cs_log_num_voters_high_ed_age_16_30,0,,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
Warning messages:
1: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  dropped 22 rows from original data due to missing data
2: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  Dropped 3 units that were already treated in the first period.
Finished `callaway_santanna`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/regressions/did_cs_age_education/log_num_voters_high_ed_age_16_30"
log_num_voters_high_ed_age_31_45,True,resources/regressions/did_cs_age_education/configs/log_num_voters_high_ed_age_31_45.yml,resources/regressions/did_cs_log_num_voters_high_ed_age_31_45,0,,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
Warning messages:
1: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  dropped 22 rows from original data due to missing data
2: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  Dropped 3 units that were already treated in the first period.
Finished `callaway_santanna`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/regressions/did_cs_age_education/log_num_voters_high_ed_age_31_45"
log_num_voters_high_ed_age_46_60,True,resources/regressions/did_cs_age_education/configs/log_num_voters_high_ed_age_46_60.yml,resources/regressions/did_cs_log_num_voters_high_ed_age_46_60,0,,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
Warning messages:
1: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  dropped 22 rows from original data due to missing data
2: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  Dropped 3 units that were already treated in the first period.
Finished `callaway_santanna`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/regressions/did_cs_age_education/log_num_voters_high_ed_age_46_60"
log_num_voters_high_ed_age_60_plus,True,resources/regressions/did_cs_age_education/configs/log_num_voters_high_ed_age_60_plus.yml,resources/regressions/did_cs_log_num_voters_high_ed_age_60_plus,0,,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
Warning messages:
1: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  dropped 42 rows from original data due to missing data
2: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  Dropped 3 units that were already treated in the first period.
Finished `callaway_santanna`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/regressions/did_cs_age_education/log_num_voters_high_ed_age_60_plus"
log_num_voters_low_ed_age_16_30,True,resources/regressions/did_cs_age_education/configs/log_num_voters_low_ed_age_16_30.yml,resources/regressions/did_cs_log_num_voters_low_ed_age_16_30,0,,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
Warning messages:
1: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  dropped 22 rows from original data due to missing data
2: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  Dropped 3 units that were already treated in the first period.
Finished `callaway_santanna`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/regressions/did_cs_age_education/log_num_voters_low_ed_age_16_30"
log_num_voters_low_ed_age_31_45,True,resources/regressions/did_cs_age_education/configs/log_num_voters_low_ed_age_31_45.yml,resources/regressions/did_cs_log_num_voters_low_ed_age_31_45,0,,"During startup - Warning messages:
1: Setting LC_CTYPE failed, using ""C""
2: Setting LC_COLLATE failed, using ""C""
3: Setting LC_TIME failed, using ""C""
4: Setting LC_MESSAGES failed, using ""C""
5: Setting LC_MONETARY failed, using ""C""
Warning messages:
1: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  dropped 22 rows from original data due to missing data
2: In pre_process_did(yname = yname, tname = tname, idname = idname,  :
  Dropped 3 units that were already treated in the first period.
Finished `callaway_santanna`. Outputs written to /Users/gabrielsgaspar/Projects/bioimetric-voting/resources/regressions/did_cs_age_education/log_num_voters_low_ed_age_31_45"
