metric,outcome,value
rows,,33406
municipalities,,5570
years,,"2008,2010,2012,2014,2016,2018"
rows_with_any_age_data,,33384
treated_municipalities_strict_bvr,,2793
never_treated_municipalities_strict_bvr,,2777
nonmissing_log_rows,log_num_voters_age_16_30,33384
zero_count_rows,log_num_voters_age_16_30,0
positive_count_rows,log_num_voters_age_16_30,33384
nonmissing_log_rows,log_num_voters_age_31_45,33384
zero_count_rows,log_num_voters_age_31_45,0
positive_count_rows,log_num_voters_age_31_45,33384
nonmissing_log_rows,log_num_voters_age_46_60,33384
zero_count_rows,log_num_voters_age_46_60,0
positive_count_rows,log_num_voters_age_46_60,33384
nonmissing_log_rows,log_num_voters_age_60_plus,33384
zero_count_rows,log_num_voters_age_60_plus,0
positive_count_rows,log_num_voters_age_60_plus,33384
nonmissing_log_rows,log_num_voters_high_ed_age_16_30,33384
zero_count_rows,log_num_voters_high_ed_age_16_30,0
positive_count_rows,log_num_voters_high_ed_age_16_30,33384
nonmissing_log_rows,log_num_voters_high_ed_age_31_45,33384
zero_count_rows,log_num_voters_high_ed_age_31_45,0
positive_count_rows,log_num_voters_high_ed_age_31_45,33384
nonmissing_log_rows,log_num_voters_high_ed_age_46_60,33384
zero_count_rows,log_num_voters_high_ed_age_46_60,0
positive_count_rows,log_num_voters_high_ed_age_46_60,33384
nonmissing_log_rows,log_num_voters_high_ed_age_60_plus,33364
zero_count_rows,log_num_voters_high_ed_age_60_plus,20
positive_count_rows,log_num_voters_high_ed_age_60_plus,33364
nonmissing_log_rows,log_num_voters_low_ed_age_16_30,33384
zero_count_rows,log_num_voters_low_ed_age_16_30,0
positive_count_rows,log_num_voters_low_ed_age_16_30,33384
nonmissing_log_rows,log_num_voters_low_ed_age_31_45,33384
zero_count_rows,log_num_voters_low_ed_age_31_45,0
positive_count_rows,log_num_voters_low_ed_age_31_45,33384
nonmissing_log_rows,log_num_voters_low_ed_age_46_60,33384
zero_count_rows,log_num_voters_low_ed_age_46_60,0
positive_count_rows,log_num_voters_low_ed_age_46_60,33384
nonmissing_log_rows,log_num_voters_low_ed_age_60_plus,33384
zero_count_rows,log_num_voters_low_ed_age_60_plus,0
positive_count_rows,log_num_voters_low_ed_age_60_plus,33384
max_abs_age_total_minus_panel_total,,207.0
rows_where_age_total_differs_from_panel_total,,12324
