group,time,estimate,std.error,conf.low,conf.high,term,statistic,p.value
2008,2002,2.1885205456524852e-4,1.3863888411550915e-5,1.916793325929265e-4,2.4602477653757053e-4,1,15.785762844348092,3.899068218436829e-56
2008,2004,3.3822486055949127e-4,2.3574117420374027e-5,2.920204394482399e-4,3.8442928167074265e-4,2,14.347296847990545,1.1077130332294817e-46
2008,2006,1.474009545795239e-4,9.087573397722474e-6,1.2958963801312358e-4,1.6521227114592424e-4,3,16.220056568287582,3.6385947170820277e-59
2008,2008,2.1921226879783665e-4,2.8387160231212973e-5,1.6357445712129152e-4,2.7485008047438176e-4,4,7.722233115688789,1.1430908570005327e-14
2008,2010,3.113855413456539e-4,3.3147747562582705e-5,2.464171499543665e-4,3.7635393273694135e-4,5,9.393867283373034,5.783676574766079e-21
2008,2012,4.2150151222577353e-4,3.88831551287535e-5,3.452919285681328e-4,4.977110958834142e-4,6,10.840208589813733,2.2196438481921875e-27
2008,2014,5.150757999137573e-4,4.4517188686728576e-5,4.278237133947954e-4,6.023278864327193e-4,7,11.570267914678793,5.830033616189137e-31
2008,2016,6.270624567263494e-4,5.279215929188999e-5,5.235917258481435e-4,7.305331876045553e-4,8,11.877946746964748,1.541062654043083e-32
2008,2018,9.13098000149585e-4,7.27960087995944e-5,7.704204446841191e-4,0.0010557755556150508,9,12.543242620118379,4.329119678629534e-36
2010,2002,8.632005452597603e-5,3.6598688371298064e-5,1.4587943436826953e-5,1.5805216561512513e-4,10,2.3585559583515336,0.018346193547162024
2010,2004,2.036648800360193e-4,3.7867312631769405e-5,1.2944631108643265e-4,2.77883448985606e-4,11,5.378382195127079,7.515813511619379e-8
2010,2006,3.751288844526536e-5,3.0062776126446407e-5,-2.140907003786014e-5,9.643484692839085e-5,12,1.2478185077613322,0.21209752932580572
2010,2008,1.3942885474701688e-4,2.6193666470587965e-5,8.80902118416101e-5,1.9076749765242366e-4,13,5.322998783067544,1.0207042829459404e-7
2010,2010,-8.546443505945932e-4,1.587766003457235e-4,-0.001165840768859921,-5.434479323292653e-4,14,-5.382684531182004,7.338308391257098e-8
2010,2012,-7.441751500116701e-4,1.59296651495769e-4,-0.001056390849801206,-4.319594502221344e-4,15,-4.671630841100485,2.988176557301431e-6
2010,2014,-6.509540920264892e-4,1.5613280596338304e-4,-9.569687685199005e-4,-3.4493941553307794e-4,16,-4.169233288352954,3.0562603476083704e-5
2010,2016,-5.389674352138974e-4,1.5528243591869388e-4,-8.433154170461862e-4,-2.3461945338160855e-4,17,-3.4708847270795102,5.187466373096688e-4
2010,2018,-2.5293189179066185e-4,1.5931426860400563e-4,-5.651821204778531e-4,5.931833689652938e-5,18,-1.5876286161119306,0.11237034340600965
2012,2002,6.316159865355411e-5,2.6338847903842032e-5,1.1538405367745444e-5,1.1478479193936278e-4,19,2.398039537801529,0.01648308594867694
2012,2004,1.761862799537273e-4,3.087177671747777e-5,1.1567870944870871e-4,2.3669385045874589e-4,20,5.7070340190035465,1.1496181194022534e-8
2012,2006,7.478130627171094e-5,1.3809277195855915e-5,4.7715620315303084e-5,1.018469922281188e-4,21,5.415294747950485,6.118782612922316e-8
2012,2008,1.4517991758843446e-4,2.3274388018213013e-5,9.956295531052641e-5,1.907968798663425e-4,22,6.237754456737,4.438966865707095e-10
2012,2010,4.2814034250777135e-5,9.7079895358246e-6,2.3786724398269206e-5,6.184134410328507e-5,23,4.410185455266923,1.0328212788210798e-5
2012,2012,-5.226156121808887e-4,5.371864961535943e-5,-6.279022307251196e-4,-4.173289936366578e-4,24,-9.728755579728135,2.2735722532854763e-22
2012,2014,-4.548951752917256e-4,6.186735954706888e-5,-5.761529718225709e-4,-3.336373787608803e-4,25,-7.3527491495033,1.9417113795493487e-13
2012,2016,-3.429085184791333e-4,6.286474292587016e-5,-4.661211505112079e-4,-2.1969588644705866e-4,26,-5.454703264809172,4.905469285778077e-8
