variable,bin_lower,bin_upper,bin_label,count,cumulative_count,share,cumulative_share
pct_with_bvr,0.0,0.1,"[0.0, 0.1)",742,742,0.31242105263157893,0.31242105263157893
pct_with_bvr,0.1,0.2,"[0.1, 0.2)",634,1376,0.26694736842105266,0.5793684210526315
pct_with_bvr,0.2,0.3,"[0.2, 0.3)",351,1727,0.14778947368421053,0.7271578947368421
pct_with_bvr,0.3,0.4,"[0.3, 0.4)",250,1977,0.10526315789473684,0.832421052631579
pct_with_bvr,0.4,0.5,"[0.4, 0.5)",166,2143,0.06989473684210526,0.9023157894736842
pct_with_bvr,0.5,0.6,"[0.5, 0.6)",100,2243,0.042105263157894736,0.9444210526315789
pct_with_bvr,0.6,0.7,"[0.6, 0.7)",63,2306,0.026526315789473683,0.9709473684210527
pct_with_bvr,0.7,0.8,"[0.7, 0.8)",43,2349,0.018105263157894735,0.9890526315789474
pct_with_bvr,0.8,0.9,"[0.8, 0.9)",24,2373,0.010105263157894737,0.9991578947368421
pct_with_bvr,0.9,1.0,"[0.9, 1.0]",2,2375,0.0008421052631578948,1.0
pct_low_ed_with_bvr,0.0,0.1,"[0.0, 0.1)",1066,1066,0.4488421052631579,0.4488421052631579
pct_low_ed_with_bvr,0.1,0.2,"[0.1, 0.2)",490,1556,0.2063157894736842,0.655157894736842
pct_low_ed_with_bvr,0.2,0.3,"[0.2, 0.3)",301,1857,0.12673684210526315,0.7818947368421053
pct_low_ed_with_bvr,0.3,0.4,"[0.3, 0.4)",190,2047,0.08,0.8618947368421053
pct_low_ed_with_bvr,0.4,0.5,"[0.4, 0.5)",130,2177,0.05473684210526316,0.9166315789473685
pct_low_ed_with_bvr,0.5,0.6,"[0.5, 0.6)",91,2268,0.03831578947368421,0.9549473684210527
pct_low_ed_with_bvr,0.6,0.7,"[0.6, 0.7)",54,2322,0.02273684210526316,0.9776842105263158
pct_low_ed_with_bvr,0.7,0.8,"[0.7, 0.8)",37,2359,0.015578947368421053,0.9932631578947368
pct_low_ed_with_bvr,0.8,0.9,"[0.8, 0.9)",16,2375,0.006736842105263158,1.0
pct_low_ed_with_bvr,0.9,1.0,"[0.9, 1.0]",0,2375,0.0,1.0
pct_high_ed_with_bvr,0.0,0.1,"[0.0, 0.1)",275,275,0.11578947368421053,0.11578947368421053
pct_high_ed_with_bvr,0.1,0.2,"[0.1, 0.2)",670,945,0.28210526315789475,0.39789473684210525
pct_high_ed_with_bvr,0.2,0.3,"[0.2, 0.3)",511,1456,0.2151578947368421,0.6130526315789474
pct_high_ed_with_bvr,0.3,0.4,"[0.3, 0.4)",289,1745,0.12168421052631578,0.7347368421052631
pct_high_ed_with_bvr,0.4,0.5,"[0.4, 0.5)",257,2002,0.10821052631578948,0.8429473684210527
pct_high_ed_with_bvr,0.5,0.6,"[0.5, 0.6)",170,2172,0.07157894736842105,0.9145263157894736
pct_high_ed_with_bvr,0.6,0.7,"[0.6, 0.7)",95,2267,0.04,0.9545263157894737
pct_high_ed_with_bvr,0.7,0.8,"[0.7, 0.8)",64,2331,0.026947368421052633,0.9814736842105263
pct_high_ed_with_bvr,0.8,0.9,"[0.8, 0.9)",30,2361,0.01263157894736842,0.9941052631578947
pct_high_ed_with_bvr,0.9,1.0,"[0.9, 1.0]",14,2375,0.005894736842105263,1.0
