"quantity","value","se","ci_lower","ci_upper"
"gamma_N_hyb",-0.00634515748594013,0.00127416270979453,-0.00884251639713741,-0.00384779857474285
"gamma_L_hyb",-0.0029130358131064,0.000910792645667215,-0.00469818939861414,-0.00112788222759866
"gamma_H_hyb",-0.00321649315968594,0.00104473720069918,-0.00526417807305633,-0.00116880824631554
"gamma_N_str",-0.131475934441755,0.00187531000030008,-0.135151542042343,-0.127800326841167
"gamma_L_str",-0.183484075976299,0.00153782321933322,-0.186498209486192,-0.180469942466405
"gamma_H_str",0.0528839101649205,0.0013893547635766,0.0501607748283104,0.0556070455015307
"R_hat",-0.00321649315968594,0.00104473720069918,-0.00526417807305633,-0.00116880824631554
"E_L_hat",0.180571040163192,0.00157785901593912,0.177478436491951,0.183663643834433
"E_H_hat",-0.0561004033246065,0.00143691452238058,-0.0589167557884724,-0.0532840508607405
"E_total_hat",0.125130776955815,0.00189738370279484,0.121411904898337,0.128849649013293
"sanity_E_total_minus_E_L_plus_E_H",0.000660140117229008,NA,NA,NA
