run_name,rho_measure,event_time,cost_variable,specification,sample_restriction,fe,political_outcome,n_obs,beta,se,t_stat,p_value,ci_lower,ci_upper,r_squared,within_r_squared,formula,cluster
rho_H_event0_active_only,rho_H,0,cost_proxy_high_ed,active-only hybrid sample,pct_with_bvr >= 0.05,state,dilma_share_2010_runoff,1638,-0.019540655181213052,0.03109415256158198,-0.628435045544746,0.540603452360765,-0.08671548777452698,0.04763417741210088,0.5624327414096146,0.07371153311079248,dilma_share_2010_runoff ~ cost_proxy_high_ed + log_population_2010 + log_gdp_per_capita_2010 | state,state
rho_L_event0_active_only,rho_L,0,cost_proxy_low_ed,active-only hybrid sample,pct_with_bvr >= 0.05,state,dilma_share_2010_runoff,1638,-0.0001582337766546935,0.04139656752525288,-0.003822388814197389,0.9970082166137768,-0.08959008074335649,0.0892736131900471,0.5620408535648171,0.07288194363894895,dilma_share_2010_runoff ~ cost_proxy_low_ed + log_population_2010 + log_gdp_per_capita_2010 | state,state
rho_gap_event0_active_only,rho_gap,0,compliance_gap,active-only hybrid sample,pct_with_bvr >= 0.05,state,dilma_share_2010_runoff,1638,0.21076075674535127,0.11604636930561878,1.8161770851295955,0.09246533917952234,-0.03994218219881329,0.46146369568951584,0.5662322570207114,0.08175474800228655,dilma_share_2010_runoff ~ compliance_gap + log_population_2010 + log_gdp_per_capita_2010 | state,state
rho_H_event0_first_round,rho_H,0,cost_proxy_high_ed,alternative outcome: first-round Dilma,all hybrid-status observations,state,dilma_share_2010_first_round,1845,-0.03838565987756858,0.028694931554080334,-1.3377156800400263,0.20392161866011874,-0.10037729060634888,0.023605970851211716,0.5731721453476684,0.15958512253201163,dilma_share_2010_first_round ~ cost_proxy_high_ed + log_population_2010 + log_gdp_per_capita_2010 | state,state
rho_L_event0_first_round,rho_L,0,cost_proxy_low_ed,alternative outcome: first-round Dilma,all hybrid-status observations,state,dilma_share_2010_first_round,1845,-0.01938543643668716,0.037969518462154406,-0.5105526017141705,0.6182230870196984,-0.10141359402331085,0.06264272114993652,0.5720903037764802,0.15745499971650234,dilma_share_2010_first_round ~ cost_proxy_low_ed + log_population_2010 + log_gdp_per_capita_2010 | state,state
rho_gap_event0_first_round,rho_gap,0,compliance_gap,alternative outcome: first-round Dilma,all hybrid-status observations,state,dilma_share_2010_first_round,1845,0.20445099386699844,0.08006974211928444,2.5534114192901507,0.024036954487811037,0.031470832661437714,0.3774311550725592,0.5755916636185665,0.16434910203570352,dilma_share_2010_first_round ~ compliance_gap + log_population_2010 + log_gdp_per_capita_2010 | state,state
rho_H_event0_left_coalition,rho_H,0,cost_proxy_high_ed,alternative outcome: first-round left coalition,all hybrid-status observations,state,left_coalition_share_2010_first_round,1845,-0.01495777104186315,0.025789441196557492,-0.5799959342996462,0.5718333749527647,-0.07067247147059623,0.040756929386869936,0.5043865558229432,0.02978856426266374,left_coalition_share_2010_first_round ~ cost_proxy_high_ed + log_population_2010 + log_gdp_per_capita_2010 | state,state
rho_L_event0_left_coalition,rho_L,0,cost_proxy_low_ed,alternative outcome: first-round left coalition,all hybrid-status observations,state,left_coalition_share_2010_first_round,1845,0.002194285757004948,0.03699963304296999,0.05930560863824207,0.9536106679701356,-0.07773856176965245,0.08212713328366235,0.5041016069533188,0.029230749184888438,left_coalition_share_2010_first_round ~ cost_proxy_low_ed + log_population_2010 + log_gdp_per_capita_2010 | state,state
rho_gap_event0_left_coalition,rho_gap,0,compliance_gap,alternative outcome: first-round left coalition,all hybrid-status observations,state,left_coalition_share_2010_first_round,1845,0.18163699191624205,0.10153446120188768,1.788919641333214,0.096941340750282,-0.03771487561515349,0.4009888594476376,0.5081420189103687,0.037140247871569,left_coalition_share_2010_first_round ~ compliance_gap + log_population_2010 + log_gdp_per_capita_2010 | state,state
rho_H_event0,rho_H,0,cost_proxy_high_ed,main,all hybrid-status observations,state,dilma_share_2010_runoff,1845,-0.021811521148179885,0.029318665979247906,-0.7439465753188885,0.47014261004970426,-0.08515064817904905,0.04152760588268928,0.5392790166908246,0.07914464874461002,dilma_share_2010_runoff ~ cost_proxy_high_ed + log_population_2010 + log_gdp_per_capita_2010 | state,state
rho_L_event0,rho_L,0,cost_proxy_low_ed,main,all hybrid-status observations,state,dilma_share_2010_runoff,1845,-0.001612038653313225,0.04058495235686931,-0.03972010707659178,0.968919795234245,-0.08929049764912939,0.08606642034250295,0.5387805782331414,0.07814840646857535,dilma_share_2010_runoff ~ cost_proxy_low_ed + log_population_2010 + log_gdp_per_capita_2010 | state,state
rho_gap_event0,rho_gap,0,compliance_gap,main,all hybrid-status observations,state,dilma_share_2010_runoff,1845,0.21453227381818557,0.09965419205951948,2.1527671780235194,0.050699443146109954,-0.0007575191923235303,0.42982206682869467,0.5433477417123748,0.08727691826263828,dilma_share_2010_runoff ~ compliance_gap + log_population_2010 + log_gdp_per_capita_2010 | state,state
rho_H_event0_region_fe,rho_H,0,cost_proxy_high_ed,region fixed effects,all hybrid-status observations,region,dilma_share_2010_runoff,1845,-0.02880371118085657,0.03797161965037201,-0.7585589302239409,0.46164847861095826,-0.1108364081086469,0.05322898574693375,0.49535033595977307,0.11464865509438382,dilma_share_2010_runoff ~ cost_proxy_high_ed + log_population_2010 + log_gdp_per_capita_2010 | region,state
rho_L_event0_region_fe,rho_L,0,cost_proxy_low_ed,region fixed effects,all hybrid-status observations,region,dilma_share_2010_runoff,1845,-0.012751869221753129,0.042678105558711675,-0.2987918290846008,0.7698216320331833,-0.10495231078800428,0.07944857234449802,0.49442620680325844,0.11302737393660711,dilma_share_2010_runoff ~ cost_proxy_low_ed + log_population_2010 + log_gdp_per_capita_2010 | region,state
rho_gap_event0_region_fe,rho_gap,0,compliance_gap,region fixed effects,all hybrid-status observations,region,dilma_share_2010_runoff,1845,0.18629135981600964,0.10830576466120721,1.7200502706273324,0.1091232360538525,-0.047689019472297894,0.42027173910431714,0.4985191179160322,0.12020792832212357,dilma_share_2010_runoff ~ compliance_gap + log_population_2010 + log_gdp_per_capita_2010 | region,state
rho_H_event2,rho_H,2,cost_proxy_high_ed,main,all hybrid-status observations,state,dilma_share_2010_runoff,527,0.07029685393638306,0.02460809853296759,2.856655252830934,0.0244543584447424,0.012107947359743076,0.12848576051302305,0.5632483068438687,0.051159597998978845,dilma_share_2010_runoff ~ cost_proxy_high_ed + log_population_2010 + log_gdp_per_capita_2010 | state,state
rho_L_event2,rho_L,2,cost_proxy_low_ed,main,all hybrid-status observations,state,dilma_share_2010_runoff,527,0.06896275858147503,0.03765477492962098,1.8314479029650435,0.10971222812633685,-0.020076635405374715,0.15800215256832478,0.5640879688344813,0.052983758576263584,dilma_share_2010_runoff ~ cost_proxy_low_ed + log_population_2010 + log_gdp_per_capita_2010 | state,state
rho_gap_event2,rho_gap,2,compliance_gap,main,all hybrid-status observations,state,dilma_share_2010_runoff,527,0.09297825983664641,0.09394720602604215,0.9896862692316029,0.35529578951740315,-0.12917158190191663,0.31512810157520943,0.5590015495869947,0.04193354363913315,dilma_share_2010_runoff ~ compliance_gap + log_population_2010 + log_gdp_per_capita_2010 | state,state
