event_time,cost_variable,preference_variable,correlation,n_obs,p_value
0,cost_proxy_low_ed,dilma_share_2010_runoff,0.09129521129139181,1845,8.601523360288028e-05
0,cost_proxy_low_ed,dilma_share_2010_first_round,0.03833781874867369,1845,0.09971615786729328
0,cost_proxy_low_ed,left_coalition_share_2010_first_round,0.10489520262037025,1845,6.331107744822317e-06
0,cost_proxy_high_ed,dilma_share_2010_runoff,0.004726553610629037,1845,0.8392246153380964
0,cost_proxy_high_ed,dilma_share_2010_first_round,-0.051372112417593645,1845,0.027343995502402452
0,cost_proxy_high_ed,left_coalition_share_2010_first_round,0.01692348203500741,1845,0.4675436214110199
0,compliance_gap,dilma_share_2010_runoff,0.2709348700429029,1845,2.0995128293694192e-32
0,compliance_gap,dilma_share_2010_first_round,0.28879326094296653,1845,8.995816820993043e-37
0,compliance_gap,left_coalition_share_2010_first_round,0.27359705009881946,1845,4.91282866887339e-33
2,cost_proxy_low_ed,dilma_share_2010_runoff,-0.03429421152229015,528,0.43164214317288296
2,cost_proxy_low_ed,dilma_share_2010_first_round,-0.1222738717872771,528,0.004899853379796588
2,cost_proxy_low_ed,left_coalition_share_2010_first_round,-0.06351033053593266,528,0.14501450319781875
2,cost_proxy_high_ed,dilma_share_2010_runoff,-0.10553677519661378,528,0.015262835489476993
2,cost_proxy_high_ed,dilma_share_2010_first_round,-0.18974703860965902,528,1.1352679279000474e-05
2,cost_proxy_high_ed,left_coalition_share_2010_first_round,-0.11981054865650384,528,0.005843302707938842
2,compliance_gap,dilma_share_2010_runoff,0.17550897359313344,528,5.0167079574215736e-05
2,compliance_gap,dilma_share_2010_first_round,0.1430412032092272,528,0.0009806819369276684
2,compliance_gap,left_coalition_share_2010_first_round,0.12929837521639845,528,0.0029154707146166
