specification,event_time,cost_variable,political_outcome,sample_restriction,fe,n_obs,beta,se,ci_lower,ci_upper,p_value,r_squared,within_r_squared
active-only hybrid sample,0,cost_proxy_high_ed,dilma_share_2010_runoff,pct_with_bvr >= 0.05,state,1638,-0.019540655181213052,0.03109415256158198,-0.08671548777452698,0.04763417741210088,0.540603452360765,0.5624327414096146,0.07371153311079248
active-only hybrid sample,0,cost_proxy_low_ed,dilma_share_2010_runoff,pct_with_bvr >= 0.05,state,1638,-0.0001582337766546935,0.04139656752525288,-0.08959008074335649,0.0892736131900471,0.9970082166137768,0.5620408535648171,0.07288194363894895
active-only hybrid sample,0,compliance_gap,dilma_share_2010_runoff,pct_with_bvr >= 0.05,state,1638,0.21076075674535127,0.11604636930561878,-0.03994218219881329,0.46146369568951584,0.09246533917952234,0.5662322570207114,0.08175474800228655
alternative outcome: first-round Dilma,0,cost_proxy_high_ed,dilma_share_2010_first_round,all hybrid-status observations,state,1845,-0.03838565987756858,0.028694931554080334,-0.10037729060634888,0.023605970851211716,0.20392161866011874,0.5731721453476684,0.15958512253201163
alternative outcome: first-round Dilma,0,cost_proxy_low_ed,dilma_share_2010_first_round,all hybrid-status observations,state,1845,-0.01938543643668716,0.037969518462154406,-0.10141359402331085,0.06264272114993652,0.6182230870196984,0.5720903037764802,0.15745499971650234
alternative outcome: first-round Dilma,0,compliance_gap,dilma_share_2010_first_round,all hybrid-status observations,state,1845,0.20445099386699844,0.08006974211928444,0.031470832661437714,0.3774311550725592,0.024036954487811037,0.5755916636185665,0.16434910203570352
alternative outcome: first-round left coalition,0,cost_proxy_high_ed,left_coalition_share_2010_first_round,all hybrid-status observations,state,1845,-0.01495777104186315,0.025789441196557492,-0.07067247147059623,0.040756929386869936,0.5718333749527647,0.5043865558229432,0.02978856426266374
alternative outcome: first-round left coalition,0,cost_proxy_low_ed,left_coalition_share_2010_first_round,all hybrid-status observations,state,1845,0.002194285757004948,0.03699963304296999,-0.07773856176965245,0.08212713328366235,0.9536106679701356,0.5041016069533188,0.029230749184888438
alternative outcome: first-round left coalition,0,compliance_gap,left_coalition_share_2010_first_round,all hybrid-status observations,state,1845,0.18163699191624205,0.10153446120188768,-0.03771487561515349,0.4009888594476376,0.096941340750282,0.5081420189103687,0.037140247871569
region fixed effects,0,cost_proxy_high_ed,dilma_share_2010_runoff,all hybrid-status observations,region,1845,-0.02880371118085657,0.03797161965037201,-0.1108364081086469,0.05322898574693375,0.46164847861095826,0.49535033595977307,0.11464865509438382
region fixed effects,0,cost_proxy_low_ed,dilma_share_2010_runoff,all hybrid-status observations,region,1845,-0.012751869221753129,0.042678105558711675,-0.10495231078800428,0.07944857234449802,0.7698216320331833,0.49442620680325844,0.11302737393660711
region fixed effects,0,compliance_gap,dilma_share_2010_runoff,all hybrid-status observations,region,1845,0.18629135981600964,0.10830576466120721,-0.047689019472297894,0.42027173910431714,0.1091232360538525,0.4985191179160322,0.12020792832212357
