test,specification,outcome,regressor,n_obs,beta,se,t_stat,p_value,ci_lower,ci_upper,r_squared,within_r_squared,n_clusters,run_name
placebo_test1,pooled,delta_pt_2006_2010,bvr_by_2014,2004,-0.009614218619332135,0.004868319995140293,-1.9748534666844708,0.059896626391842095,-0.01966193725484714,0.0004335000161828726,0.44007950935455553,0.05523452077882285,25,placebo_2006_2010_test1
placebo_test1,pooled,delta_pt_2006_2010,log_population_2010,2004,-0.01248416283547474,0.001779056861000165,-7.017292762894767,2.958629732424123e-07,-0.01615595573194745,-0.00881236993900203,0.44007950935455553,0.05523452077882285,25,placebo_2006_2010_test1
placebo_test1,pooled,delta_pt_2006_2010,log_gdp_per_capita_2010,2004,-0.0025261630597629425,0.004421308732723557,-0.5713609278325172,0.573067360914486,-0.011651295793744519,0.006598969674218634,0.44007950935455553,0.05523452077882285,25,placebo_2006_2010_test1
placebo_test2,pooled,delta_pt_2010_2014,bvr_by_2018_minus_2014_only,4802,-0.007283912407054627,0.0048998680741835395,-1.4865527595390085,0.15132478201316682,-0.017445616842386633,0.00287779202827738,0.3914542499801712,0.02575736653258065,23,placebo_2010_2014_test2
placebo_test2,pooled,delta_pt_2010_2014,log_population_2010,4802,-0.0010602570134337487,0.0022133608598386236,-0.47902582568983,0.6366472265424218,-0.0056504864902059675,0.0035299724633384706,0.3914542499801712,0.02575736653258065,23,placebo_2010_2014_test2
placebo_test2,pooled,delta_pt_2010_2014,log_gdp_per_capita_2010,4802,-0.01943219830334714,0.0034596178993133004,-5.616862575258452,1.1999855966914114e-05,-0.026607006689971697,-0.012257389916722584,0.3914542499801712,0.02575736653258065,23,placebo_2010_2014_test2
test1,strict_vs_hybrid,delta_pt_2010_2014,bvr_by_2014_strict,2004,-0.010712060302875945,0.006370057184322636,-1.6816270235751454,0.10561008978460815,-0.023859212163087704,0.0024350915573358133,0.49419712485631406,0.022450179615466692,25,test1_breakdown
test1,strict_vs_hybrid,delta_pt_2010_2014,bvr_by_2014_hybrid,2004,-0.02413841548330328,0.042280608661792556,-0.5709098389852719,0.5733682404424212,-0.11140130288513438,0.06312447191852781,0.49419712485631406,0.022450179615466692,25,test1_breakdown
test1,strict_vs_hybrid,delta_pt_2010_2014,log_population_2010,2004,-0.0005123667840844269,0.001693440727736874,-0.3025596205951403,0.7648322415653419,-0.004007456666262878,0.0029827230980940243,0.49419712485631406,0.022450179615466692,25,test1_breakdown
test1,strict_vs_hybrid,delta_pt_2010_2014,log_gdp_per_capita_2010,2004,-0.016505156862876565,0.003321284386743624,-4.9695102680018195,4.490867091830192e-05,-0.02335995093143435,-0.00965036279431878,0.49419712485631406,0.022450179615466692,25,test1_breakdown
