spec,election,outcome,coefficient,std_error_cluster_municipality,p_value,n_observations,n_municipalities,n_treated_municipalities,n_control_municipalities,years,estimation_note
hybrid_vs_no_bvr_2016,mayor,pct_mayor_R,0.013144564818994306,0.014412810960653527,0.3618203967188259,8048,4024,840,3184,"2012, 2016",First-difference equivalent of municipality and year fixed effects for the balanced 2012/2016 panel.
hybrid_vs_no_bvr_2016,mayor,pct_mayor_L,-0.022594878062329796,0.00915578409358768,0.013634966956445643,8048,4024,840,3184,"2012, 2016",First-difference equivalent of municipality and year fixed effects for the balanced 2012/2016 panel.
hybrid_vs_no_bvr_2016,mayor,pct_mayor_C,0.009450313243335482,0.014648199322317375,0.5188655595903072,8048,4024,840,3184,"2012, 2016",First-difference equivalent of municipality and year fixed effects for the balanced 2012/2016 panel.
hybrid_vs_no_bvr_2016,vereador,pct_vereador_R,-7.069727657963904e-05,0.006017753268611028,0.9906271564633325,8042,4021,839,3182,"2012, 2016",First-difference equivalent of municipality and year fixed effects for the balanced 2012/2016 panel.
hybrid_vs_no_bvr_2016,vereador,pct_vereador_L,0.0027731764737442977,0.0029983128609314437,0.3550670391303323,8042,4021,839,3182,"2012, 2016",First-difference equivalent of municipality and year fixed effects for the balanced 2012/2016 panel.
hybrid_vs_no_bvr_2016,vereador,pct_vereador_C,-0.00270247919716463,0.006004596050891801,0.6526853582746873,8042,4021,839,3182,"2012, 2016",First-difference equivalent of municipality and year fixed effects for the balanced 2012/2016 panel.
hybrid_vs_never_bvr,mayor,pct_mayor_R,0.018417548578103914,0.01653786069549298,0.265553827854503,4164,2082,840,1242,"2012, 2016",First-difference equivalent of municipality and year fixed effects for the balanced 2012/2016 panel.
hybrid_vs_never_bvr,mayor,pct_mayor_L,-0.006966068212690335,0.010278541193887956,0.4980187065341935,4164,2082,840,1242,"2012, 2016",First-difference equivalent of municipality and year fixed effects for the balanced 2012/2016 panel.
hybrid_vs_never_bvr,mayor,pct_mayor_C,-0.011451480365413585,0.016874108068614124,0.4974401126208699,4164,2082,840,1242,"2012, 2016",First-difference equivalent of municipality and year fixed effects for the balanced 2012/2016 panel.
hybrid_vs_never_bvr,vereador,pct_vereador_R,-0.000747868614033737,0.006870561275312714,0.9133310488913827,4158,2079,839,1240,"2012, 2016",First-difference equivalent of municipality and year fixed effects for the balanced 2012/2016 panel.
hybrid_vs_never_bvr,vereador,pct_vereador_L,0.012986856842958257,0.0033920708962907674,0.0001326925135452743,4158,2079,839,1240,"2012, 2016",First-difference equivalent of municipality and year fixed effects for the balanced 2012/2016 panel.
hybrid_vs_never_bvr,vereador,pct_vereador_C,-0.012238988228924523,0.0068711677131121736,0.0750242835677212,4158,2079,839,1240,"2012, 2016",First-difference equivalent of municipality and year fixed effects for the balanced 2012/2016 panel.
