year,state,municipality_id,pct_mayor_R,pct_mayor_C,pct_mayor_L,pct_mayor_IDK,treated_bvr_2016,treat_bvr2016_x_2016
2012,RO,1100015,0.0,1.0,0.0,0.0,0,0
2016,RO,1100015,0.7242058979607308,0.2757941020392692,0.0,0.0,0,0
2012,RO,1100049,0.4812707670977458,0.0,0.5187292329022543,0.0,0,0
2016,RO,1100049,0.4732502789987929,0.48554900129819845,0.041200719703008634,0.0,0,0
2012,RO,1100056,0.5972074081256666,0.40279259187433336,0.0,0.0,0,0
2016,RO,1100056,1.0,0.0,0.0,0.0,0,0
2012,RO,1100072,0.0,0.725638406537283,0.27436159346271705,0.0,0,0
2016,RO,1100072,0.20092281879194632,0.7990771812080537,0.0,0.0,0,0
2012,RO,1100080,0.448649473523577,0.0,0.551350526476423,0.0,0,0
2016,RO,1100080,0.6373001230012301,0.36269987699877,0.0,0.0,0,0
2012,RO,1100098,0.4725798464966576,0.5274201535033424,0.0,0.0,0,0
2016,RO,1100098,0.7427270577105014,0.2572729422894986,0.0,0.0,0,0
2012,RO,1100114,0.16386731051858072,0.34530058086640075,0.4908321086150185,0.0,0,0
2016,RO,1100114,0.2193979447329242,0.7806020552670758,0.0,0.0,0,0
2012,RO,1100122,0.0,1.0,0.0,0.0,1,0
2016,RO,1100122,0.34703688221486223,0.6529631177851378,0.0,0.0,1,1
2012,RO,1100148,0.0,1.0,0.0,0.0,0,0
2016,RO,1100148,0.7395952653684612,0.26040473463153874,0.0,0.0,0,0
2012,RO,1100155,0.7541107899350803,0.0,0.24588921006491968,0.0,0,0
2016,RO,1100155,1.0,0.0,0.0,0.0,0,0
2012,RO,1100189,0.19869156906193944,0.8013084309380606,0.0,0.0,0,0
2016,RO,1100189,0.38800690494382656,0.49268472139683617,0.11930837365933723,0.0,0,0
2012,RO,1100254,0.26122313500954275,0.3341631399883827,0.40461372500207454,0.0,0,0
2016,RO,1100254,0.0,0.5342096393663633,0.46579036063363666,0.0,0,0
2012,RO,1100288,0.8055628052645315,0.0340032064427128,0.16043398829275568,0.0,0,0
2016,RO,1100288,0.26296687646437267,0.7370331235356273,0.0,0.0,0,0
2012,RO,1100296,0.0,0.7396439273752864,0.26035607262471355,0.0,0,0
2016,RO,1100296,1.0,0.0,0.0,0.0,0,0
2012,RO,1100304,0.8582598060627239,0.14174019393727613,0.0,0.0,0,0
2016,RO,1100304,0.0,0.9779983945217149,0.022001605478285086,0.0,0,0
2012,RO,1100320,0.0904156064461408,0.3734520780322307,0.5361323155216285,0.0,0,0
2016,RO,1100320,0.6356228172293364,0.0,0.36437718277066355,0.0,0,0
2012,RO,1100346,0.7694713794182045,0.23052862058179543,0.0,0.0,0,0
2016,RO,1100346,0.3877068557919622,0.6122931442080378,0.0,0.0,0,0
2012,RO,1100379,0.4170461013090495,0.40466704610130905,0.17828685258964144,0.0,0,0
2016,RO,1100379,0.0,1.0,0.0,0.0,0,0
2012,RO,1100502,0.0,0.5279754204398448,0.47202457956015526,0.0,0,0
2016,RO,1100502,0.0,1.0,0.0,0.0,0,0
2012,RO,1100924,0.0,1.0,0.0,0.0,0,0
2016,RO,1100924,0.5834545832467263,0.4165454167532737,0.0,0.0,0,0
2012,RO,1101005,0.48210170533108004,0.51789829466892,0.0,0.0,0,0
2016,RO,1101005,0.17817633255112303,0.8218236674488769,0.0,0.0,0,0
2012,RO,1101203,0.20467736428815295,0.795322635711847,0.0,0.0,0,0
2016,RO,1101203,0.0,0.5677092749954801,0.43229072500452,0.0,0,0
2012,RO,1101302,0.0,1.0,0.0,0.0,0,0
2016,RO,1101302,0.09021177255294313,0.9097882274470569,0.0,0.0,0,0
2012,RO,1101435,0.5597706219673577,0.4402293780326423,0.0,0.0,0,0
2016,RO,1101435,0.357057843370626,0.4920257081647227,0.15091644846465127,0.0,0,0
2012,RO,1101450,0.0,1.0,0.0,0.0,0,0
2016,RO,1101450,0.0,1.0,0.0,0.0,0,0
2012,RO,1101468,0.0,1.0,0.0,0.0,0,0
2016,RO,1101468,0.0,1.0,0.0,0.0,0,0
2012,RO,1101484,0.0,1.0,0.0,0.0,0,0
2016,RO,1101484,0.0,1.0,0.0,0.0,0,0
2012,RO,1101492,0.9203302834188797,0.07966971658112029,0.0,0.0,0,0
2016,RO,1101492,0.0,0.8288310718287066,0.17116892817129342,0.0,0,0
2012,RO,1101500,0.0,1.0,0.0,0.0,0,0
2016,RO,1101500,0.2886047491920753,0.7113952508079247,0.0,0.0,0,0
2012,RO,1101559,0.5342019543973942,0.0,0.46579804560260585,0.0,0,0
2016,RO,1101559,0.37445072190834905,0.0,0.625549278091651,0.0,0,0
2012,RO,1101609,0.0,0.7704112952731738,0.22958870472682627,0.0,0,0
2016,RO,1101609,0.0,1.0,0.0,0.0,0,0
2012,RO,1101708,0.3761467889908257,0.6238532110091743,0.0,0.0,0,0
2016,RO,1101708,1.0,0.0,0.0,0.0,0,0
2012,RO,1101807,0.4044615103309563,0.5955384896690437,0.0,0.0,0,0
2016,RO,1101807,0.47593020811435777,0.5240697918856422,0.0,0.0,0,0
2012,AC,1200203,0.0,1.0,0.0,0.0,0,0
2016,AC,1200203,0.0,1.0,0.0,0.0,0,0
2012,AC,1200252,0.04528254288597376,0.6553985872855701,0.2993188698284561,0.0,0,0
2016,AC,1200252,0.17922017817887306,0.4706699062825408,0.3501099155385861,0.0,0,0
2012,AC,1200328,0.0,0.5130568356374808,0.4869431643625192,0.0,0,0
2016,AC,1200328,0.0,0.44816236972024137,0.5518376302797586,0.0,0,0
2012,AC,1200336,0.2589476179189381,0.37319269969187013,0.36785968238919176,0.0,0,0
2016,AC,1200336,0.4365461007735731,0.0,0.563453899226427,0.0,0,0
2012,AC,1200344,0.6675263271007952,0.3324736728992048,0.0,0.0,0,0
2016,AC,1200344,0.21768982229402262,0.43760096930533116,0.3447092084006462,0.0,0,0
2012,AC,1200351,0.0,0.390625,0.609375,0.0,0,0
2016,AC,1200351,0.0,0.5651573716178907,0.43484262838210935,0.0,0,0
2012,AC,1200385,0.0,1.0,0.0,0.0,0,0
2016,AC,1200385,0.23212180746561886,0.47779960707269153,0.2900785854616896,0.0,0,0
2012,AC,1200393,0.0,0.6338281601439496,0.3661718398560504,0.0,0,0
2016,AC,1200393,0.0,0.6729806226866971,0.32701937731330283,0.0,0,0
2012,AC,1200435,0.0,0.5198279980888677,0.48017200191113235,0.0,0,0
2016,AC,1200435,0.6978090119884249,0.0,0.302190988011575,0.0,0,0
2012,AC,1200450,0.13870462845643586,0.46142952970112544,0.3998658418424387,0.0,1,0
2016,AC,1200450,0.7026853306670475,0.2973146693329524,0.0,0.0,1,1
2012,AC,1200500,0.48686252198200064,0.5131374780179994,0.0,0.0,0,0
2016,AC,1200500,0.04463716987603508,0.955362830123965,0.0,0.0,0,0
2012,AC,1200708,0.0,0.588228584464469,0.411771415535531,0.0,1,0
2016,AC,1200708,0.3861683848797251,0.19995704467353953,0.41387457044673537,0.0,1,1
2012,AC,1200807,0.0,0.6767973171242926,0.3232026828757074,0.0,1,0
2016,AC,1200807,0.7831103849688553,0.09905034208107832,0.11783927295006637,0.0,1,1
2012,AM,1300029,0.4692393736017897,0.5307606263982103,0.0,0.0,0,0
2016,AM,1300029,0.684870188003581,0.315129811996419,0.0,0.0,0,0
2012,AM,1300060,0.0,0.4774980930587338,0.5225019069412662,0.0,0,0
2016,AM,1300060,0.4407315421088282,0.5592684578911719,0.0,0.0,0,0
2012,AM,1300086,0.5713739728645136,0.0,0.4286260271354863,0.0,0,0
2016,AM,1300086,0.4967325808367988,0.4908766867521005,0.012390732411100738,0.0,0,0
2012,AM,1300102,0.6650013502565487,0.3349986497434513,0.0,0.0,0,0
2016,AM,1300102,0.0,1.0,0.0,0.0,0,0
2012,AM,1300144,0.3521858317703073,0.3263598326359833,0.3214543355937094,0.0,0,0
2016,AM,1300144,0.9581537606005839,0.025163353260114,0.0166828861393021,0.0,0,0
2012,AM,1300201,0.3511092150170648,0.5885238907849829,0.06036689419795222,0.0,0,0
2016,AM,1300201,0.0,0.8032478632478632,0.19675213675213676,0.0,0,0
2012,AM,1300300,0.5897435897435898,0.41025641025641024,0.0,0.0,1,0
2016,AM,1300300,1.0,0.0,0.0,0.0,1,1
2012,AM,1300409,0.0,0.5436816235928333,0.45631837640716666,0.0,0,0
2016,AM,1300409,0.32098765432098764,0.6455418381344308,0.03347050754458162,0.0,0,0
2012,AM,1300508,0.4464601059560122,0.5535398940439878,0.0,0.0,0,0
2016,AM,1300508,0.4291305563321219,0.5708694436678781,0.0,0.0,0,0
2012,AM,1300607,0.9879535350638176,0.012046464936182418,0.0,0.0,0,0
2016,AM,1300607,0.9521113930639599,0.04788860693604008,0.0,0.0,0,0
2012,AM,1300631,0.548717316230883,0.0,0.4512826837691169,0.0,0,0
2016,AM,1300631,0.33055555555555555,0.6532051282051282,0.01623931623931624,0.0,0,0
2012,AM,1300680,0.004707266843189173,0.7071197411003236,0.2881729920564872,0.0,0,0
2016,AM,1300680,0.5730231465162731,0.42697685348372694,0.0,0.0,0,0
2012,AM,1300706,0.7073282793475764,0.29267172065242364,0.0,0.0,0,0
2016,AM,1300706,0.381395959065862,0.618604040934138,0.0,0.0,0,0
2012,AM,1300805,1.0,0.0,0.0,0.0,0,0
2016,AM,1300805,0.604639371276461,0.3953606287235391,0.0,0.0,0,0
2012,AM,1300839,0.7125844294347672,0.28741557056523287,0.0,0.0,0,0
2016,AM,1300839,0.7516906010181598,0.2483093989818403,0.0,0.0,0,0
2012,AM,1300904,1.0,0.0,0.0,0.0,0,0
2016,AM,1300904,1.0,0.0,0.0,0.0,0,0
2012,AM,1301001,0.5319559450116569,0.4680440549883431,0.0,0.0,0,0
2016,AM,1301001,0.4128586609989373,0.5384089873994231,0.04873235160163959,0.0,0,0
2012,AM,1301100,0.4322405782137326,0.43236964377903975,0.13538977800722768,0.0,1,0
2016,AM,1301100,0.950771340418238,0.001988344189235516,0.04724031539252657,0.0,1,1
2012,AM,1301209,0.9991269573053959,0.0,0.0008730426946040329,0.0,0,0
2016,AM,1301209,0.9686559098278391,0.03134409017216089,0.0,0.0,0,0
2012,AM,1301308,0.44700074515648286,0.1612332339791356,0.3917660208643815,0.0,0,0
2016,AM,1301308,0.6671670787707524,0.3328329212292476,0.0,0.0,0,0
2012,AM,1301407,0.3778685480876346,0.6221314519123654,0.0,0.0,0,0
2016,AM,1301407,0.636390165608813,0.363609834391187,0.0,0.0,0,0
2012,AM,1301506,0.0,1.0,0.0,0.0,0,0
2016,AM,1301506,0.540193351873924,0.459806648126076,0.0,0.0,0,0
2012,AM,1301605,0.3993008351136143,0.3581277918042338,0.24257137308215188,0.0,0,0
2016,AM,1301605,0.46570272828987,0.53429727171013,0.0,0.0,0,0
2012,AM,1301654,0.0,0.8505180069067587,0.14948199309324126,0.0,0,0
2016,AM,1301654,0.6869806094182825,0.31301939058171746,0.0,0.0,0,0
2012,AM,1301704,0.3586275982970198,0.6275982970197846,0.013774104683195593,0.0,0,0
2016,AM,1301704,0.5719931982168298,0.4127947056390459,0.015212096144124271,0.0,0,0
2012,AM,1301803,1.0,0.0,0.0,0.0,0,0
