draw,beta_event_0
1,-7.229472938275757e-5
2,-8.938530426483114e-5
3,0.001428581664869348
4,7.377372927634701e-4
5,6.719063712748077e-4
6,4.598022722779102e-4
7,0.0013675664375460215
8,1.3960201195817117e-4
9,-7.552721613793235e-4
10,-0.001122960648806059
11,8.96406544076452e-4
12,-4.2489031398787154e-4
13,2.4650389100745957e-4
14,-5.404715836457069e-4
15,-2.0570675699021866e-4
16,-6.870791404268732e-4
17,5.314177848740645e-4
18,1.2989299153583385e-4
19,-7.299519171654319e-4
20,-4.5308518515873556e-6
21,9.064710853245691e-5
22,2.041657153890423e-4
23,7.284044231584621e-5
24,5.15010304330315e-4
25,-1.085097506818487e-4
26,7.306692335515261e-4
27,-4.250172639281853e-5
28,0.0012152909701517317
29,-7.315972245004811e-4
30,-3.296335549161627e-4
31,5.882297736105521e-4
32,-2.6575448876136194e-5
33,7.712000373083308e-4
34,7.485565502254492e-4
35,-0.00138512170711089
36,0.0015424604423041146
37,-6.002460232614302e-4
38,-2.0986070084544735e-4
39,0.0010339520155307654
40,-7.480221802513513e-4
41,-1.2265304757465466e-4
42,1.1278656455388354e-4
43,8.477079708091523e-4
44,1.361692223312302e-4
45,8.996037771407749e-4
46,8.776853269662583e-5
47,-0.0011884258684060197
48,-1.692470087999312e-4
49,-0.0012646013720080407
50,-3.962401613443972e-4
51,-9.216787430409507e-4
52,1.625984638977041e-4
53,-0.0014382377073106152
54,-2.46768741328445e-4
55,-5.824256455693106e-5
56,3.116271415574199e-4
57,9.012163348810914e-4
58,-1.2688595788404422e-5
59,-5.735253520904658e-4
60,0.001157356099900682
61,-0.00024456773269157587
62,4.159299913787316e-4
63,-6.568323044572167e-4
64,-0.0010995328547476492
65,0.0011395205245500527
66,-1.3066187766302533e-4
67,-1.6276231066040067e-4
68,-1.7884245216041213e-4
69,-3.6829956370198726e-4
70,7.230554325483628e-4
71,2.827781205174906e-4
72,6.376163678644075e-4
73,1.0119296079991657e-4
74,-0.0015656576803986376
75,-3.047665732636767e-4
76,1.9838624109229695e-4
77,-1.5851830042532027e-4
78,3.50547416631386e-4
79,4.653273745409658e-4
80,5.916227986384906e-4
81,8.81159451112752e-4
82,-0.0012290597733083137
83,0.0013640019125580704
84,4.4259509935011846e-4
85,6.753808498613826e-4
86,-1.3726830634732935e-4
87,-4.503869293374108e-5
88,-5.604547957815297e-4
89,1.1662874772665393e-4
90,-1.590577969009465e-5
91,-0.0015587655959595503
92,-3.6357629960311007e-4
93,3.747330366847653e-4
94,-0.001461644963826024
95,-0.0017914964510642175
96,-4.3739401821876576e-4
97,5.25327151810397e-4
98,-2.314713099219165e-5
99,0.0013697741372129001
100,7.786961282395119e-4
101,6.640033995831087e-4
102,0.0016731248898098157
103,2.3835639194686283e-4
