term,estimate,std.error,statistic,p.value,conf.low,conf.high,event_time,specification
fixest::event_time_for_formula::-8:ever_treated,-0.015995310160033287,0.004472564450061652,-3.57631742116378,0.005965002474167386,-0.02611295386681687,-0.005877666453249707,-8,baseline
fixest::event_time_for_formula::-6:ever_treated,-0.008324853457370551,0.0038612874238749427,-2.1559787043815186,0.059455364359113395,-0.01705969246091188,4.099855461707786e-4,-6,baseline
fixest::event_time_for_formula::-4:ever_treated,-0.002639936111409691,0.003916069226660591,-0.674129071426269,0.5171678990530943,-0.011498700162513574,0.006218827939694192,-4,baseline
(reference period),0,,,,,,-2,baseline
fixest::event_time_for_formula::0:ever_treated,-0.11535407974411246,0.005774277403304128,-19.977232073766515,9.171194206114645e-9,-0.1284164027319807,-0.10229175675624422,0,baseline
fixest::event_time_for_formula::2:ever_treated,-0.07032695304125586,0.004291207635414029,-16.388615750230528,5.2169772043777485e-8,-0.08003433913076205,-0.060619566951749665,2,baseline
fixest::event_time_for_formula::4:ever_treated,-0.04409313566971173,0.014026267437958284,-3.143611503541251,0.011858869950547031,-0.07582275702181229,-0.012363514317611173,4,baseline
fixest::event_time_for_formula::6:ever_treated,-0.0016822882525839604,0.011677616874997215,-0.1440609218980188,0.888626570408017,-0.0280988929107721,0.024734316405604178,6,baseline
fixest::event_time_for_formula::8:ever_treated,0.027047707520257244,0.014782355446490225,1.8297292077819156,0.10053883109490551,-0.0063923037360496746,0.06048771877656416,8,baseline
fixest::event_time_for_formula::-8:ever_treated,-0.009039453576754933,0.007370463043756437,-1.2264431044684918,0.25115031248484276,-0.025712599344328013,0.007633692190818149,-8,state_year
fixest::event_time_for_formula::-6:ever_treated,-0.0060564586537941775,0.006393069531937357,-0.9473475336907257,0.36820214976481214,-0.020518586687733237,0.008405669380144882,-6,state_year
fixest::event_time_for_formula::-4:ever_treated,-0.0024014533737750955,0.005107250181969348,-0.47020476542410117,0.6493942764199065,-0.013954855955119493,0.009151949207569302,-4,state_year
(reference period),0,,,,,,-2,state_year
fixest::event_time_for_formula::0:ever_treated,-0.11714125096035509,0.008498815446789904,-13.783244464333043,2.3466397432364645e-7,-0.1363669071986109,-0.09791559472209929,0,state_year
fixest::event_time_for_formula::2:ever_treated,-0.06719176536016695,0.0057024776494942414,-11.782907271215041,8.994100190362003e-7,-0.08009166602066703,-0.05429186469966688,2,state_year
fixest::event_time_for_formula::4:ever_treated,-0.04158608638562657,0.008203476999689352,-5.06932443245728,6.7248616197398e-4,-0.06014364064032416,-0.023028532130928973,4,state_year
fixest::event_time_for_formula::6:ever_treated,-0.01313373159571541,0.011331114001472211,-1.1590856463017662,0.2762489884521875,-0.038766492296628804,0.01249902910519798,6,state_year
fixest::event_time_for_formula::8:ever_treated,0.012171549548496127,0.014727935330034766,0.8264260587615845,0.4299262684551305,-0.021145354851570763,0.04548845394856302,8,state_year
fixest::event_time_for_formula::-8:ever_treated,-0.0025534350432246953,0.006093655610252752,-0.4190317284961866,0.6925857030686271,-0.018217675467563733,0.013110805381114345,-8,within_state
fixest::event_time_for_formula::-6:ever_treated,-0.0045574433963958385,0.00384320091142473,-1.1858457315743944,0.2889602279869892,-0.014436705850005175,0.005321819057213499,-6,within_state
fixest::event_time_for_formula::-4:ever_treated,-8.65005417512568e-4,0.0032606988483417816,-0.2652822164035369,0.8013818749628192,-0.009246898648540199,0.0075168878135150625,-4,within_state
(reference period),0,,,,,,-2,within_state
fixest::event_time_for_formula::0:ever_treated,-0.11511827639506766,0.005072247186628716,-22.69571496802019,3.0874015937691254e-6,-0.12815690287887282,-0.10207964991126249,0,within_state
fixest::event_time_for_formula::2:ever_treated,-0.0742186323369847,0.005377746520406771,-13.801065568142626,3.586047578527834e-5,-0.08804256985899873,-0.06039469481497066,2,within_state
fixest::event_time_for_formula::4:ever_treated,-0.04849358196151038,0.009608559633866698,-5.046914814431504,0.003943616750877908,-0.07319317082295643,-0.023793993100064338,4,within_state
fixest::event_time_for_formula::6:ever_treated,-0.022329794131334346,0.006669818509183754,-3.3478863181341714,0.020375877000432155,-0.03947510843803298,-0.005184479824635709,6,within_state
fixest::event_time_for_formula::8:ever_treated,0.01045372400410724,0.012498568867752073,0.8363936795259177,0.4410611289112831,-0.02167487009878577,0.04258231810700025,8,within_state
