term,estimate,std.error,statistic,p.value,conf.low,conf.high,event_time,specification
fixest::event_time_for_formula::-8:ever_treated,0.004261409559619341,0.0022766029443387443,1.8718281860331591,0.09402411107051156,-8.886240977640323e-4,0.009411443217002715,-8,baseline
fixest::event_time_for_formula::-6:ever_treated,0.0015719074528893796,0.002107553859207133,0.7458444993100842,0.47478997983411586,-0.0031957106056990352,0.0063395255114777945,-6,baseline
fixest::event_time_for_formula::-4:ever_treated,5.548262013969898e-4,0.0022650350680886336,0.24495258780482546,0.8119869083741327,-0.004569039101868832,0.005678691504662812,-4,baseline
(reference period),0,,,,,,-2,baseline
fixest::event_time_for_formula::0:ever_treated,0.08929741148702015,0.0023890380247097416,37.37797831738966,3.4827297422344476e-11,0.08389303200722574,0.09470179096681457,0,baseline
fixest::event_time_for_formula::2:ever_treated,0.07881344733215573,0.0030942061613506507,25.47129803973789,1.0664297733071086e-9,0.07181386670108202,0.08581302796322944,2,baseline
fixest::event_time_for_formula::4:ever_treated,0.06514665717996682,0.005940905910619309,10.965778310597013,1.6527879980265527e-6,0.05170739432074915,0.07858592003918448,4,baseline
fixest::event_time_for_formula::6:ever_treated,0.06092548068040265,0.00447041888448628,13.628584312721275,2.586534870779237e-7,0.05081269058015365,0.07103827078065164,6,baseline
fixest::event_time_for_formula::8:ever_treated,0.054292912818251625,0.004283007563314182,12.676352309833394,4.820185355586792e-7,0.04460407658058156,0.06398174905592169,8,baseline
fixest::event_time_for_formula::-8:ever_treated,-0.00213174841699762,0.002479524131147996,-0.8597409439248495,0.4122465078754649,-0.007740821690605054,0.0034773248566098143,-8,state_year
fixest::event_time_for_formula::-6:ever_treated,-0.0012957184280303021,0.0017808182847422768,-0.7275972170388069,0.48535669643943613,-0.005324209266502056,0.0027327724104414526,-6,state_year
fixest::event_time_for_formula::-4:ever_treated,-8.593369207935804e-4,0.0011535021786804659,-0.7449807522484335,0.4752868020696709,-0.003468740136598931,0.0017500662950117704,-4,state_year
(reference period),0,,,,,,-2,state_year
fixest::event_time_for_formula::0:ever_treated,0.09116365760375876,0.004047862062014437,22.521433835220844,3.1787334455362655e-9,0.08200675744615368,0.10032055776136384,0,state_year
fixest::event_time_for_formula::2:ever_treated,0.08581475019076125,0.003213888335448278,26.701223326351716,7.011341800748428e-10,0.07854442967229333,0.09308507070922917,2,state_year
fixest::event_time_for_formula::4:ever_treated,0.0772336606484389,0.003614920377960913,21.365245309221578,5.0676513604165655e-9,0.06905614262248942,0.08541117867438837,4,state_year
fixest::event_time_for_formula::6:ever_treated,0.06794410816061919,0.004289740145902949,15.838746835402453,7.026607863711787e-8,0.05824004176302182,0.07764817455821656,6,state_year
fixest::event_time_for_formula::8:ever_treated,0.05824203927531857,0.0055708459678633065,10.454792613420123,2.468166228786417e-6,0.04563991016627109,0.07084416838436605,8,state_year
fixest::event_time_for_formula::-8:ever_treated,0.005588119365704749,0.0038177124076710853,1.463735024795559,0.20314063505018948,-0.00422562280313792,0.01540186153454742,-8,within_state
fixest::event_time_for_formula::-6:ever_treated,0.002599437619466029,0.003096905273810861,0.8393662025920866,0.4395395037558597,-0.005361410824078476,0.010560286063010533,-6,within_state
fixest::event_time_for_formula::-4:ever_treated,0.001073475492655008,0.0016284304536416958,0.6592086817428221,0.5389068850476029,-0.0031125382520733377,0.005259489237383353,-4,within_state
(reference period),0,,,,,,-2,within_state
fixest::event_time_for_formula::0:ever_treated,0.0883669391685115,0.003197900869144335,27.632795006605665,1.1617296809265057e-6,0.08014647328212349,0.09658740505489952,0,within_state
fixest::event_time_for_formula::2:ever_treated,0.07943587923337911,0.003347740035264166,23.72821019452633,2.4759950046392877e-6,0.07083023950829657,0.08804151895846164,2,within_state
fixest::event_time_for_formula::4:ever_treated,0.06863626871092697,0.0034355327078870773,19.97834820590012,5.806547460713599e-6,0.05980495073629801,0.07746758668555592,4,within_state
fixest::event_time_for_formula::6:ever_treated,0.05447439157184117,0.002858036152969303,19.060077849346314,7.327512929373307e-6,0.04712757575142639,0.061821207392255946,6,within_state
fixest::event_time_for_formula::8:ever_treated,0.04417061570613651,0.005972197161715868,7.396041106828743,7.10877788038341e-4,0.02881859416339095,0.059522637248882064,8,within_state
