term,estimate,std.error,statistic,p.value,conf.low,conf.high,event_time,specification
fixest::event_time_for_formula::-8:ever_treated,-0.0040579010975920465,0.002255574592788187,-1.799054267842212,0.10554853315833175,-0.009160365318893488,0.0010445631237093944,-8,baseline
fixest::event_time_for_formula::-6:ever_treated,-0.0014642854761902184,0.0021080755651040964,-0.6946076793589286,0.5048358089903657,-0.006233083715510323,0.0033045127631298864,-6,baseline
fixest::event_time_for_formula::-4:ever_treated,-5.023177711204414e-4,0.0022652626407128665,-0.2217481373207853,0.8294597562895112,-0.005626697879428229,0.004622062337187346,-4,baseline
(reference period),0,,,,,,-2,baseline
fixest::event_time_for_formula::0:ever_treated,-0.08864275113688398,0.002405030210701001,-36.85722979381911,3.9485189237635024e-11,-0.09408330745476733,-0.08320219481900064,0,baseline
fixest::event_time_for_formula::2:ever_treated,-0.07838059372016967,0.003110009860445734,-25.202683347420635,1.1717904504423078e-9,-0.08541592480235004,-0.0713452626379893,2,baseline
fixest::event_time_for_formula::4:ever_treated,-0.064921776964009,0.005989836103779879,-10.838656657573683,1.8233646992677727e-6,-0.07847172761016194,-0.051371826317856056,4,baseline
fixest::event_time_for_formula::6:ever_treated,-0.06099391011664125,0.004448743121928435,-13.71036907390636,2.456463565878278e-7,-0.0710576662353609,-0.05093015399792159,6,baseline
fixest::event_time_for_formula::8:ever_treated,-0.054426555551004986,0.004288193358014184,-12.692187829937158,4.768910987116088e-7,-0.06412712287130046,-0.044725988230709515,8,baseline
fixest::event_time_for_formula::-8:ever_treated,0.002106354651759673,0.0024620391487917767,0.8555325583646172,0.414451608572988,-0.00346316484376924,0.007675874147288587,-8,state_year
fixest::event_time_for_formula::-6:ever_treated,0.0012635557642999336,0.0017690427616561166,0.7142595937686868,0.4931741569194369,-0.002738296990276768,0.005265408518876635,-6,state_year
fixest::event_time_for_formula::-4:ever_treated,8.338063390667837e-4,0.0011483129425049296,0.7261142047636585,0.4862220161149424,-0.0017638580089546262,0.0034314706870881935,-4,state_year
(reference period),0,,,,,,-2,state_year
fixest::event_time_for_formula::0:ever_treated,-0.09039615155185952,0.003998036169935838,-22.610138505402826,3.069955509859069e-9,-0.09944033771080618,-0.08135196539291287,0,state_year
fixest::event_time_for_formula::2:ever_treated,-0.08503927242774625,0.0031559523505470437,-26.94567692475008,6.46516834400482e-10,-0.09217853264298607,-0.07790001221250643,2,state_year
fixest::event_time_for_formula::4:ever_treated,-0.07641511682581038,0.0036629970295918675,-20.86136467173837,6.2576903563856336e-9,-0.08470139179361018,-0.06812884185801059,4,state_year
fixest::event_time_for_formula::6:ever_treated,-0.06738825684458757,0.0042711879614057095,-15.777403723157416,7.26831341171399e-8,-0.07705035528513896,-0.057726158404036186,6,state_year
fixest::event_time_for_formula::8:ever_treated,-0.05768801383364311,0.0055672747318851025,-10.361984384073985,2.659461456965733e-6,-0.07028206424564246,-0.04509396342164377,8,state_year
fixest::event_time_for_formula::-8:ever_treated,-0.005585526158598538,0.0037338282739906893,-1.4959247583790904,0.19492112731072492,-0.015183637297104292,0.004012584979907217,-8,within_state
fixest::event_time_for_formula::-6:ever_treated,-0.002607790718922752,0.003035584031919131,-0.8590738030974807,0.4295521123650197,-0.010411007891921713,0.00519542645407621,-6,within_state
fixest::event_time_for_formula::-4:ever_treated,-0.0011050839293853779,0.0015861444040972251,-0.6967107953921452,0.5170377812539113,-0.00518239792325389,0.002972230064483134,-4,within_state
(reference period),0,,,,,,-2,within_state
fixest::event_time_for_formula::0:ever_treated,-0.08759421932594343,0.00314816509225019,-27.823896383824767,1.122592986363069e-6,-0.09568683532766609,-0.07950160332422077,0,within_state
fixest::event_time_for_formula::2:ever_treated,-0.07865429323487956,0.003287897591958929,-23.922367116068642,2.3778606053630377e-6,-0.08710610306220157,-0.07020248340755755,2,within_state
fixest::event_time_for_formula::4:ever_treated,-0.06785172434707831,0.0034133679121760062,-19.878233490459913,5.952653807281256e-6,-0.07662606590046181,-0.05907738279369482,4,within_state
fixest::event_time_for_formula::6:ever_treated,-0.0539040408658934,0.0028154244319105967,-19.145973251824476,7.166479663562865e-6,-0.06114131977016947,-0.04666676196161733,6,within_state
fixest::event_time_for_formula::8:ever_treated,-0.04376503581436655,0.005859375823539085,-7.469231729179696,6.791055902722967e-4,-0.05882704087452269,-0.028703030754210407,8,within_state
