event_time,estimate,std.error,conf.low,conf.high,statistic,p.value,estimator,estimator_label,color,term,n_switchers,n_comparisons
-8.0,-0.003143476093798,0.0004572201310275894,-0.0040396110836188,-0.0022473411039773,-6.875191795980666,6.1906511415410995e-12,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
-6.0,-0.0022647920316777,0.0003425925703729585,-0.0029362611309797,-0.0015933229323757,-6.610744737436058,3.823913637866554e-11,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
-4.0,-0.001285594517296,0.0002271625696514485,-0.0017308249724484,-0.000840364062143675,-5.659358930780997,1.5193948334796923e-08,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
-2.0,0.0,,,,,,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
0.0,-0.0507102174763598,0.0008512945424586148,-0.0523787241198141,-0.0490417108329054,-59.56835730428173,0.0,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
2.0,-0.0597580655128228,0.001201167063561,-0.0621123096968181,-0.0574038213288274,-49.75000341389706,0.0,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
4.0,-0.0651126461187743,0.0017857229301455,-0.0686125987482269,-0.0616126934893218,-36.46290531391014,4.296035252970722e-291,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
6.0,-0.0683881644536724,0.0021563354077523,-0.0726145041914556,-0.0641618247158893,-31.714993969772102,9.653414130549172e-221,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
8.0,-0.0589862459866086,0.0048857930353804,-0.068562224371871,-0.0494102676013463,-12.07301364578071,1.4666310344864773e-33,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
-2.0,0.0,,,,,,bjs,Borusyak-Jaravel-Spiess,#009E73,,,
0.0,-0.0475672747278917,0.0009389784528009404,-0.0494076724953815,-0.0457268769604018,-50.65853703671281,0.0,bjs,Borusyak-Jaravel-Spiess,#009E73,0.0,,
2.0,-0.0551903495021653,0.0012538541290324,-0.0576479035950688,-0.0527327954092618,-44.0165631904531,0.0,bjs,Borusyak-Jaravel-Spiess,#009E73,2.0,,
4.0,-0.0600036598054159,0.0017648774063535,-0.0634628195218688,-0.056544500088963,-33.99876931361001,2.3230760151792983e-253,bjs,Borusyak-Jaravel-Spiess,#009E73,4.0,,
6.0,-0.0584217180445109,0.0022850790233507,-0.0629004729302783,-0.0539429631587435,-25.56660730220375,3.5892612748979453e-144,bjs,Borusyak-Jaravel-Spiess,#009E73,6.0,,
8.0,-0.0554094736939506,0.0061502719488926,-0.0674640067137802,-0.043354940674121,-9.00927213534471,2.0742857623399724e-19,bjs,Borusyak-Jaravel-Spiess,#009E73,8.0,,
-8.0,0.0001649594958706,0.0001178036824412,-6.593572171415533e-05,0.0003958547134554,1.400291505768063,0.161426043439071,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_-8,4320.0,6.0
-6.0,0.0004099220016536,0.0001094603087326,0.0001953797965377,0.0006244642067695,3.744937378671159,0.000180438776288,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_-6,4323.0,6.0
-4.0,0.000582226851239,8.670547428484e-05,0.0004122841216407,0.0007521695808372,6.714995287682871,1.8807229791227315e-11,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_-4,4323.0,6.0
-2.0,0.0,,,,,,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_-2,,0.0
0.0,-0.0507621805753199,0.0009282280184749,-0.0525815074915309,-0.048942853659109,-54.687188454750526,0.0,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_0,4324.0,6.0
2.0,-0.0600683203622828,0.0011744086577267,-0.0623701613314273,-0.0577664793931384,-51.1477158883972,0.0,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_2,2381.0,5.0
4.0,-0.0648120888275195,0.0017660125361922,-0.0682734733984562,-0.0613507042565827,-36.69967653075863,7.3903368603605076e-295,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_4,762.0,4.0
6.0,-0.0686823462032021,0.0020577527476794,-0.0727155415886538,-0.0646491508177505,-33.3773560893831,2.9219413711533298e-244,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_6,298.0,3.0
8.0,-0.0589833377231102,0.0047034498527973,-0.068202099434593,-0.0497645760116273,-12.540441499132776,4.484899196030836e-36,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_8,60.0,2.0
