group,time,estimate,std.error,conf.low,conf.high,term,statistic,p.value
2008,2000,0.003670594651661024,0.007757967207210001,-0.011534741667713361,0.01887593097103541,1,0.47313871709198424,0.6361142159960274
2008,2002,-9.277775068347849e-4,0.0025884258412454037,-0.006000998932328567,0.0041454439186589965,2,-0.35843310325954364,0.7200192222485059
2008,2004,0.0026245808598620206,0.003122786413180333,-0.0034959680413824473,0.008745129761106488,3,0.8404612139928821,0.4006498396396306
2008,2006,0,NA,NA,NA,4,NA,NA
2008,2008,-0.07748456955530089,0.03349610881589858,-0.1431357364566967,-0.01183340265390509,5,-2.31324091945043,0.020709396948490305
2008,2010,-0.07004397705709511,0.03804608435355264,-0.14461293214283114,0.004524978028640908,6,-1.8410298522758386,0.06561718416168462
2008,2012,-0.06265531466845559,0.036893061949775374,-0.13496438736942037,0.009653758032509202,7,-1.6982953259274558,0.08945203646553629
2008,2014,-0.06127084531041203,0.03679530616269725,-0.13338832018942332,0.010846629568599268,8,-1.6651810162821217,0.09587664717403124
2008,2016,-0.04839026539422913,0.03347080849726146,-0.11399184458229877,0.01721131379384052,9,-1.4457453395004893,0.14824864239481922
2008,2018,-0.03217889787251949,0.032036797458541,-0.09496986707126417,0.030612071326225197,10,-1.0044355374210665,0.3151687279706538
2010,2000,-0.014981963366382923,0.004706280370815257,-0.024206103394328635,-0.005757823338437211,11,-3.1833979673819637,0.00145557403414391
2010,2002,-0.009565081089557562,0.004274554119596049,-0.017943053213933136,-0.001187108965181989,12,-2.2376792577517945,0.02524197884544923
2010,2004,-0.0029459847861002136,0.0024560248228752517,-0.007759704984072071,0.0018677354118716437,13,-1.1994930827496153,0.23033627284808125
2010,2006,-2.4513783479399487e-4,0.0016410231013046736,-0.003461484011149379,0.002971208341561389,14,-0.14938109926612325,0.8812529249889314
2010,2008,0,NA,NA,NA,15,NA,NA
2010,2010,-0.109705636149704,0.004512896488580143,-0.11855075073327835,-0.10086052156612964,16,-24.30936238562383,1.5607621732629529e-130
2010,2012,-0.09552619775747492,0.004560648272504844,-0.10446490411773923,-0.08658749139721061,17,-20.945749825388113,2.0514411579362704e-97
2010,2014,-0.08809747545512739,0.0046670444635254485,-0.09724471451788433,-0.07895023639237045,18,-18.876502279684573,1.7798995477855872e-79
2010,2016,-0.07755487731842264,0.004587807557937478,-0.08654681489998076,-0.06856293973686453,19,-16.904562002441246,4.1640723905536075e-64
2010,2018,-0.0595439291756813,0.004955477318490839,-0.06925648624612846,-0.04983137210523413,20,-12.015780791388032,2.9358342641493246e-33
2012,2000,-0.030664732798029715,0.002284416376507757,-0.03514210662167841,-0.02618735897438102,21,-13.423442903568938,4.407511987557577e-41
2012,2002,-0.023071680810166275,0.002108302440807397,-0.027203877662666662,-0.018939483957665888,22,-10.943250059194888,7.158672995478071e-28
2012,2004,-0.012073873778637008,0.001341385962747017,-0.014702941954988747,-0.009444805602285269,23,-9.001043781545908,2.235817621449527e-19
2012,2006,-0.007432960646843822,0.0010491623462602813,-0.009489281059449513,-0.00537664023423813,24,-7.0846620385667345,1.393840354443762e-12
2012,2008,-0.004266223798876922,3.723348327697245e-4,-0.004995986661295325,-0.003536460936458518,25,-11.458030308744778,2.143337680323256e-30
2012,2010,0,NA,NA,NA,26,NA,NA
2012,2012,-0.10537644395738005,0.002241683804768367,-0.10977006347945277,-0.10098282443530733,27,-47.00771970303305,0
2012,2014,-0.0978471440486699,0.002068296078090322,-0.10190092987109237,-0.09379335822624743,28,-47.30809340363548,0
2012,2016,-0.08607647936221831,0.0020929462263098155,-0.09017857858736457,-0.08197438013707205,29,-41.12694262288063,0
2012,2018,-0.06628248934501292,0.002240369429696784,-0.07067353273928316,-0.06189144595074268,30,-29.585517667942703,2.2949119381600136e-192
2014,2000,-0.00849929882939013,0.001842322009169977,-0.012110183615288756,-0.0048884140434915044,31,-4.613362260823951,3.962068612407655e-6
2014,2002,-0.006024632078193099,0.0017487267776294944,-0.00945207358114769,-0.002597190575238507,32,-3.445153442643484,5.707353040380653e-4
2014,2004,-0.0028765031800003253,0.0014556758581167146,-0.005729575435073523,-2.3430924927127575e-5,33,-1.976060236185967,0.048147955327399385
2014,2006,-9.454733768836646e-4,0.0013549259880058276,-0.0036010795150924354,0.0017101327613251063,34,-0.6978044448576907,0.4852994989873304
2014,2008,-0.0027174462277599703,8.155651987555184e-4,-0.004315924644365037,-0.0011189678111549037,35,-3.3319791377888084,8.623072016762152e-4
2014,2010,-0.001275383085530254,9.599882046176965e-4,-0.003156925392164207,6.061592211036987e-4,36,-1.328540371012329,0.1839996559640894
2014,2012,0,NA,NA,NA,37,NA,NA
2014,2014,-0.08515481864426833,0.00281627858955889,-0.09067462325023501,-0.07963501403830164,38,-30.236645962502596,7.816894594054597e-201
2014,2016,-0.07135686117017481,0.0023400075276263465,-0.07594319164787507,-0.06677053069247456,39,-30.49428701734036,3.102429171187484e-204
2014,2018,-0.051749009104389884,0.002745661347449773,-0.057130406459135155,-0.04636761174964461,40,-18.84755712952562,3.077283649389954e-79
2016,2000,-0.012840948559583202,0.0017383317869189756,-0.01624801625512555,-0.009433880864040855,41,-7.3869376699039355,1.5024898609201386e-13
2016,2002,-0.009097959834764411,0.0015093564091778495,-0.012056244036587697,-0.0061396756329411255,42,-6.027708087661081,1.6630106530846186e-9
2016,2004,-0.003964868501959235,0.0011754620823939182,-0.006268731848643768,-0.0016610051552747025,43,-3.3730296887879856,7.434593588095347e-4
2016,2006,-0.0017218115184000746,0.0010113997609499908,-0.0037041186238344764,2.604955870343271e-4,44,-1.7024045139014132,0.08867956446136119
2016,2008,-0.0032843703544710038,7.135077325870149e-4,-0.004682819813032388,-0.001885920895909619,45,-4.603132109812787,4.161840414669804e-6
2016,2010,-0.0010837435849151362,5.108884344642928e-4,-0.0020850665165832016,-8.242065324707074e-5,46,-2.1212920704527742,0.033897231262892465
2016,2012,-0.001840514496426961,2.783203176083022e-4,-0.0023860122951049824,-0.0012950166977489398,47,-6.612936174559967,3.767709315767932e-11
2016,2014,0,NA,NA,NA,48,NA,NA
2016,2016,-0.09397510310630643,0.0014041687234647247,-0.09672722323251487,-0.09122298298009798,49,-66.92579142086785,0
2016,2018,-0.07388699905081185,0.0015792312588751758,-0.07698223544146704,-0.07079176266015666,50,-46.786687279378356,0
2018,2000,-0.010031851763919832,0.0017076652126892698,-0.01337881407844273,-0.006684889449396932,51,-5.874600998705973,4.238629975806179e-9
2018,2002,-0.0065466700069845216,0.0014845277343459283,-0.009456290900353385,-0.003637049113615658,52,-4.409934456272678,1.0340191110019814e-5
2018,2004,-0.0021866850550521055,0.0011695087952364872,-0.004478880173318449,1.0551006321423773e-4,53,-1.8697465670704378,0.0615190195743948
2018,2006,-5.188323954058439e-4,0.001046309764202273,-0.0025695618499148947,0.001531897059103207,54,-0.49586882695433115,0.6199869610885481
2018,2008,-0.0016396795197083525,8.751088060856379e-4,-0.0033548612621900485,7.550222277334347e-5,55,-1.8736864585360988,0.06097365344321807
2018,2010,-5.123909261183812e-4,7.116739718099354e-4,-0.001907246279600428,8.824644273636655e-4,56,-0.7199798593382082,0.47153739630465336
2018,2012,-8.912488142148865e-4,5.143328269525541e-4,-0.0018993226311085644,1.1682500267879141e-4,57,-1.73282506484289,0.08312676640711021
2018,2014,4.798037348453682e-5,4.0094675144680485e-4,-7.378608190695333e-4,8.338215660386069e-4,58,0.11966769480336484,0.9047463922279257
2018,2016,0,NA,NA,NA,59,NA,NA
2018,2018,-0.08099405525987638,0.0012786016500298254,-0.08350006844450833,-0.07848804207524443,60,-63.34580849163386,0
