event_time,estimate,std.error,conf.low,conf.high,statistic,p.value,estimator,estimator_label,color,term,n_switchers,n_comparisons
-8.0,-0.0027777866973894,0.0005539321044194947,-0.0038634736719321,-0.0016920997228467,-5.014669984330478,5.312456861182243e-07,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
-6.0,-0.0019685304568246,0.0003722944524163261,-0.0026982141752046,-0.0012388467384445,-5.287563228643717,1.2395652084123922e-07,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
-4.0,-0.001211223325285,0.0002789451193356305,-0.0017579457128461,-0.0006645009377239977,-4.342156364556071,1.4109105737559806e-05,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
-2.0,0.0,,,,,,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
0.0,-0.0888508502978544,0.0008664035217943452,-0.09054896999665,-0.0871527305990588,-102.55134941492612,0.0,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
2.0,-0.0776162051423639,0.0011326463026691,-0.0798361511028178,-0.07539625918191,-68.5264278525961,0.0,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
4.0,-0.0652326303905413,0.001763921351358,-0.0686898527107642,-0.0617754080703183,-36.981598040252685,2.2630293882359638e-299,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
6.0,-0.0683881644536724,0.0020398406990512,-0.0723861787580118,-0.0643901501493331,-33.526228045887,1.9995902188484782e-246,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
8.0,-0.0589862459866087,0.0049060754691728,-0.0686019772116228,-0.0493705147615945,-12.023102040979015,2.6869141165856828e-33,callaway_santanna,Callaway-Sant'Anna,#2C5A8A,,,
-2.0,0.0,,,,,,bjs,Borusyak-Jaravel-Spiess,#009E73,,,
0.0,-0.0856252941643827,0.0009635503860282674,-0.0875138529209982,-0.0837367354077673,-88.86436600096056,0.0,bjs,Borusyak-Jaravel-Spiess,#009E73,0.0,,
2.0,-0.0735714345898311,0.0012889121932681,-0.0760977024886366,-0.0710451666910256,-57.08025339048631,0.0,bjs,Borusyak-Jaravel-Spiess,#009E73,2.0,,
4.0,-0.0597021466232609,0.0017840783398557,-0.0631989401693782,-0.0562053530771435,-33.46385934380397,1.6181091903259738e-245,bjs,Borusyak-Jaravel-Spiess,#009E73,4.0,,
6.0,-0.0580365861455916,0.0022984029287082,-0.0625414558858598,-0.0535317164053234,-25.25083196713864,1.1089823332512348e-140,bjs,Borusyak-Jaravel-Spiess,#009E73,6.0,,
8.0,-0.0550955252448535,0.0061549445883963,-0.0671592166381103,-0.0430318338515968,-8.951425062172481,3.509223001584588e-19,bjs,Borusyak-Jaravel-Spiess,#009E73,8.0,,
-8.0,0.0001923542423847,0.0001541556118177,-0.000109790756778,0.0004944992415475,1.2477926694758843,0.2121069939073985,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_-8,2475.0,6.0
-6.0,0.000532334166876,0.0001660993841044,0.0002067793740313,0.0008578889597208,3.2049135506802333,0.0013510305198008,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_-6,2477.0,6.0
-4.0,0.0006965770773806,0.0001383740009449,0.0004253640355285,0.0009677901192326,5.034017030828407,4.803069725893295e-07,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_-4,2477.0,6.0
-2.0,0.0,,,,,,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_-2,,0.0
0.0,-0.0887620958717166,0.0008067367555379,-0.090343299912571,-0.0871808918308622,-110.02609619853864,0.0,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_0,2478.0,6.0
2.0,-0.0778485193809364,0.0010479007719839,-0.079902404894025,-0.0757946338678477,-74.28997235448722,0.0,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_2,1540.0,5.0
4.0,-0.0646852257713379,0.0017477684283864,-0.0681108518909753,-0.0612595996517005,-37.01018093744633,7.854355890160584e-300,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_4,760.0,4.0
6.0,-0.0685308909224592,0.0020034558436123,-0.0724576643759394,-0.0646041174689791,-34.206339581158495,1.9462313462525852e-256,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_6,298.0,3.0
8.0,-0.0589449576655075,0.0051592044772426,-0.0690569984409031,-0.048832916890112,-11.425202843871624,3.1292408226772582e-30,dcdh,de Chaisemartin-D'Haultfoeuille,#CC79A7,dcdh_event_8,60.0,2.0
-8.0,-0.0076423869507875,0.0007762078703230173,-0.0091642211738111,-0.0061205527277639,-9.8457993573386,1.3460419227393106e-22,twfe_dynamic,Dynamic TWFE,#6B6B6B,fixest::.__event_time_plot__::-8:.__ever_treated__,,
-6.0,-0.0038694043290797,0.0004354445419739928,-0.0047231374997174,-0.0030156711584419,-8.886101342638538,9.664380601180371e-19,twfe_dynamic,Dynamic TWFE,#6B6B6B,fixest::.__event_time_plot__::-6:.__ever_treated__,,
-4.0,-0.0019712908362265,0.00024733307726858094,-0.0024562124092536,-0.0014863692631994,-7.970186834678559,2.088608887912134e-15,twfe_dynamic,Dynamic TWFE,#6B6B6B,fixest::.__event_time_plot__::-4:.__ever_treated__,,
-2.0,0.0,,,,,,twfe_dynamic,Dynamic TWFE,#6B6B6B,(reference period),,
