group,time,estimate,std.error,conf.low,conf.high,term,statistic,p.value
2008,2000,-4.3653852226620927e-4,3.7025491376127245e-5,-5.09107151873317e-4,-3.6396989265910154e-4,1,-11.790215498603057,4.384177844968245e-32
2008,2002,-2.768071275963761e-4,2.353189731874975e-5,-3.229287988290203e-4,-2.3068545636373197e-4,2,-11.763060319654791,6.050086471889429e-32
2008,2004,-8.121915518441237e-5,7.867315100805531e-6,-9.66388094370193e-5,-6.579950093180543e-5,3,-10.323617923489092,5.51066796184956e-25
2008,2006,0,NA,NA,NA,4,NA,NA
2008,2008,9.616670226866179e-5,2.360740573149274e-5,4.989703726651158e-5,1.42436367270812e-4,5,4.073581966711977,4.6295547548302634e-5
2008,2010,1.5448026208478093e-4,2.5143015354813805e-5,1.0520085752660833e-4,2.0375966664295354e-4,6,6.144062671274017,8.043708116915879e-10
2008,2012,2.1933257920837943e-4,2.7732001576163782e-5,1.649788548998904e-4,2.736863035168684e-4,7,7.909006445351577,2.5945118197752122e-15
2008,2014,2.7323881419376116e-4,3.0641837329200795e-5,2.1318191660839263e-4,3.332957117791297e-4,8,8.917181148709133,4.783069480293677e-19
2008,2016,3.3571474364403565e-4,3.568272546412549e-5,2.6577788686411944e-4,4.0565160042395186e-4,9,9.40832683819387,5.0409714024942685e-21
2008,2018,4.570762572002147e-4,4.564929392274525e-5,3.6760528519195085e-4,5.465472292084785e-4,10,10.012778247430274,1.3393740309097585e-23
2010,2000,-7.59417637870483e-5,8.133720314566085e-5,-2.353597525557615e-4,8.347622498166493e-5,11,-0.9336657869960163,0.35047631849046196
2010,2002,-4.874236915648771e-5,5.881909744598124e-5,-1.6402568175376278e-4,6.654094344078738e-5,12,-0.8286827114484734,0.40728397115121473
2010,2004,1.2285622732003923e-5,4.3905766723412096e-5,-7.376809875950095e-5,9.83393442235088e-5,13,0.27981797492338967,0.7796171603759512
2010,2006,-1.6383288217842688e-5,2.1005635736942168e-5,-5.75535777346168e-5,2.4787001298931427e-5,14,-0.7799472685813429,0.4354219140532473
2010,2008,0,NA,NA,NA,15,NA,NA
2010,2010,-8.885040633262906e-4,1.5652417175745947e-4,-0.0011952858026808726,-5.817223239717086e-4,16,-5.6764655155183545,1.3750625958150033e-8
2010,2012,-8.232985164998891e-4,1.5597365068570205e-4,-0.0011290012543810962,-5.175957786186819e-4,17,-5.278446153439685,1.3028393832025259e-7
2010,2014,-7.697455112173104e-4,1.5869949863769856e-4,-0.001080790812911763,-4.587002095228579e-4,18,-4.850333604232697,1.2325399531029707e-6
2010,2016,-7.072695817670361e-4,1.603360871699617e-4,-0.0010215225380422355,-3.930166254918366e-4,19,-4.41116902782657,1.0281401741414458e-5
2010,2018,-5.859080682108571e-4,1.6260790694597185e-4,-9.046137094264024e-4,-2.6720242699531185e-4,20,-3.6031954362805436,3.143290065140972e-4
