group,time,estimate,std.error,conf.low,conf.high,term,statistic,p.value
2008,2000,-4.3653852226620927e-4,3.811677993404802e-5,-5.112460381435824e-4,-3.6183100638883614e-4,1,-11.452660036381218,2.2803855164224857e-30
2008,2002,-2.768071275963761e-4,2.4619588066854712e-5,-3.2506063352162346e-4,-2.285536216711288e-4,2,-11.243369582167821,2.4966705947562466e-29
2008,2004,-8.121915518441237e-5,7.905032806386427e-6,-9.671273478153735e-5,-6.572557558728738e-5,3,-10.27436029345709,9.19524227835015e-25
2008,2006,0,NA,NA,NA,4,NA,NA
2008,2008,9.616670226866179e-5,2.561261566201694e-5,4.5966898021242085e-5,1.463665065160815e-4,5,3.7546615128135983,1.735758886276077e-4
2008,2010,1.5448026208478093e-4,2.6860557823047743e-5,1.0183453614695176e-4,2.071259880226101e-4,6,5.751193370683795,8.861568641366981e-9
2008,2012,2.1933257920837943e-4,2.9866914357502543e-5,1.607945027383322e-4,2.7787065567842664e-4,7,7.343663847661025,2.0782470182666801e-13
2008,2014,2.7323881419376116e-4,3.338035008261767e-5,2.0781453024049193e-4,3.386630981470304e-4,8,8.18561859050263,2.7090846158073026e-16
2008,2016,3.3571474364403565e-4,3.80397337996752e-5,2.611582354151813e-4,4.1027125187289e-4,9,8.825370477405974,1.0909804337650516e-18
2008,2018,4.570762572002147e-4,4.9670017281533576e-5,3.597248122169268e-4,5.544277021835026e-4,10,9.202256858689426,3.505092860818243e-20
2010,2000,-7.59417637870483e-5,8.019439905671322e-5,-2.3311989770003903e-4,8.123637012594246e-5,11,-0.946970919170334,0.34365359774109566
2010,2002,-4.874236915648771e-5,6.158025780166889e-5,-1.694374566064504e-4,7.195271829347498e-5,12,-0.791525902887122,0.4286371667541146
2010,2004,1.2285622732003923e-5,4.2141790930926556e-5,-7.031076973662879e-5,9.488201520063664e-5,13,0.2915306269764602,0.7706455236664733
2010,2006,-1.6383288217842688e-5,2.092687206357833e-5,-5.7399203771533607e-5,2.463262733584823e-5,14,-0.7828828010257962,0.4336959381558426
2010,2008,0,NA,NA,NA,15,NA,NA
2010,2010,-8.885040633262906e-4,1.5830487373732414e-4,-0.0011987759144286066,-5.782322122239746e-4,16,-5.612613448658496,1.9929346393398725e-8
2010,2012,-8.232985164998891e-4,1.5816364992077194e-4,-0.0011332935740080033,-5.133034589917748e-4,17,-5.205358607444248,1.9362232711917437e-7
2010,2014,-7.697455112173104e-4,1.5632806099526283e-4,-0.0010761428805410064,-4.633481418936145e-4,18,-4.923911333107597,8.483128573819206e-7
