slug,label,category,family,frequency,pretrend_label,post_mean_ref0,post_abs_mean_ref0,max_abs_pretrend_t,n_pre_p05,n_obs,n_munis,n_treated,n_never,sample_year_min,sample_year_max,post_min_ref0,post_max_ref0,post_sign_share,n_post_raw_p05,n_post_ref0_ci_excludes0_naive,post_n,figure_path,output_dir
child_spending_share,Child/basic share of education spending,adult_eja,spending,annual,pass,17.794050687608376,17.794050687608376,1.0280764375654992,0,65846,4037,2790,1244,2004,2020,3.1568845545893467,30.42333117033168,1.0,0,0,8,resources/figures/downstream_bjs_ref0_nonhybrid/adult_eja/annual/child_spending_share_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/adult_eja/annual/spending/child_spending_share
siconfi_education_pc_2008,Education Pc 2008,education,spending,annual,pass,14.82401934161344,14.82401934161344,1.399798836517624,0,81889,4037,2790,1244,2000,2020,-4.609705823396519,64.41058437305871,0.75,7,2,8,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/siconfi_education_pc_2008_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/spending/siconfi_education_pc_2008
inep_ind_municipal_dsu_em,Municipal Dsu Em,education,teacher_profile,annual,pass,11.853503638684678,11.853503638684678,1.778085142486525,0,938,4037,131,47,2011,2020,0.6950993489166902,27.04858540799852,1.0,5,5,6,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_dsu_em_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/teacher_profile/inep_ind_municipal_dsu_em
inep_ind_municipal_afd_em_grupo_5,Municipal Afd Em Grupo 5,education,teacher_profile,annual,pass,-8.90255931130888,8.90255931130888,1.1379458942076743,0,648,4037,96,42,2013,2020,-23.091396866711605,1.2731068310429143,0.8333333333333334,1,1,6,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_afd_em_grupo_5_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/teacher_profile/inep_ind_municipal_afd_em_grupo_5
ideb_municipal_ef_final_taxa_aprovacao,Municipal Ef Final Taxa Aprovacao,education,achievement,biennial,pass,4.002962952226035,4.002962952226035,1.9247950656095305,0,18817,4037,2041,761,2004,2018,0.3400182503785047,7.407281893561657,1.0,4,3,4,resources/figures/downstream_bjs_ref0_nonhybrid/education/biennial/ideb_municipal_ef_final_taxa_aprovacao_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/biennial/achievement/ideb_municipal_ef_final_taxa_aprovacao
inep_ind_municipal_ied_em_nivel_5,Municipal Ied Em Nivel 5,education,teacher_profile,annual,pass,3.0326728877426903,3.0326728877426903,1.232287681676188,0,667,4037,97,46,2013,2020,-0.1650914995983766,8.785897057301284,0.8333333333333334,0,0,6,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_ied_em_nivel_5_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/teacher_profile/inep_ind_municipal_ied_em_nivel_5
ideb_publica_ef_final_taxa_aprovacao,Publica Ef Final Taxa Aprovacao,education,achievement,biennial,pass,2.706349679830673,2.706349679830673,1.665870620070302,0,27681,4037,2790,1244,2004,2018,0.071928887325821,5.55046502039393,1.0,4,3,4,resources/figures/downstream_bjs_ref0_nonhybrid/education/biennial/ideb_publica_ef_final_taxa_aprovacao_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/biennial/achievement/ideb_publica_ef_final_taxa_aprovacao
inep_ind_municipal_tdi_em,Municipal Tdi Em,education,dropout_flow,annual,pass,-2.7063485615518887,2.7063485615518887,1.8301411884547,0,2085,4037,321,99,2006,2020,-6.579388945546016,0.1061996523536834,0.875,1,1,8,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_tdi_em_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/dropout_flow/inep_ind_municipal_tdi_em
ieps_mortality_csap_per_100k,IEPS CSAP mortality,birth_health,ieps,annual,pass,-2.668773665547456,2.668773665547456,1.3323048417377872,0,44383,4037,2792,1244,2010,2020,-14.223309675384938,8.630588654007697,0.625,2,3,8,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps_mortality_csap_per_100k_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps/ieps_mortality_csap_per_100k
ieps_mortality_avoidable_per_100k,IEPS avoidable mortality,birth_health,ieps,annual,pass,2.227695855161818,2.227695855161818,1.7857715264169454,0,44383,4037,2792,1244,2010,2020,0.416447708763529,7.839299257836591,1.0,4,1,8,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps_mortality_avoidable_per_100k_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps/ieps_mortality_avoidable_per_100k
