slug,label,category,family,data_frequency,term,estimate,std.error,conf.low,conf.high,statistic,p.value,event_time,reference_event_time,event_time0_estimate,estimate_ref0,conf.low_ref0,conf.high_ref0
sinasc_dedicated_mean_birthweight_all,SINASC mean birthweight: all births,birth_health,sinasc_dedicated,annual,-8,-5.333467516561846,1.7671406085011134,-8.797063109224029,-1.869871923899664,-3.0181342055659552,0.0025433624324776,-8,0,-8.247571542709906,2.9141040261480597,-0.5494915665141225,6.377699618810242
sinasc_dedicated_mean_birthweight_all,SINASC mean birthweight: all births,birth_health,sinasc_dedicated,annual,-7,-4.567704234281851,1.723218584380517,-7.945212659667664,-1.1901958088960374,-2.6506818552702085,0.0080329469023156,-7,0,-8.247571542709906,3.6798673084280553,0.3023588830422419,7.057375733813869
sinasc_dedicated_mean_birthweight_all,SINASC mean birthweight: all births,birth_health,sinasc_dedicated,annual,-6,-4.171310075994141,1.9088076971458712,-7.912573162400048,-0.4300469895882335,-2.185296131313415,0.0288671408752872,-6,0,-8.247571542709906,4.076261466715765,0.33499838030985796,7.817524553121673
sinasc_dedicated_mean_birthweight_all,SINASC mean birthweight: all births,birth_health,sinasc_dedicated,annual,-5,-5.696307317533531,1.9810212217439176,-9.57910891215161,-1.813505722915452,-2.875439826191766,0.0040346504151732,-5,0,-8.247571542709906,2.551264225176375,-1.3315373694417048,6.434065819794454
sinasc_dedicated_mean_birthweight_all,SINASC mean birthweight: all births,birth_health,sinasc_dedicated,annual,-4,-6.5876274067296805,2.0694952228731744,-10.643838043561102,-2.531416769898259,-3.1832049351550458,0.0014565448308001,-4,0,-8.247571542709906,1.6599441359802256,-2.396266500851196,5.716154772811647
sinasc_dedicated_mean_birthweight_all,SINASC mean birthweight: all births,birth_health,sinasc_dedicated,annual,-3,-10.7212197800847,2.118632780153648,-14.87374002918585,-6.568699530983548,-5.060442697062004,4.182841579463413e-07,-3,0,-8.247571542709906,-2.4736482373747943,-6.626168486475944,1.6788720117263578
sinasc_dedicated_mean_birthweight_all,SINASC mean birthweight: all births,birth_health,sinasc_dedicated,annual,-2,-9.999697578974452,2.3006389045417133,-14.50894983187621,-5.4904453260726935,-4.346487212414757,1.3833511231212733e-05,-2,0,-8.247571542709906,-1.7521260362645457,-6.261378289166304,2.7571262166372126
sinasc_dedicated_mean_birthweight_all,SINASC mean birthweight: all births,birth_health,sinasc_dedicated,annual,-1,-11.052128154000073,2.2928953777940597,-15.546203094476429,-6.558053213523717,-4.820162429143656,1.4344138383489191e-06,-1,0,-8.247571542709906,-2.8045566112901668,-7.298631551766523,1.689518329186189
sinasc_dedicated_mean_birthweight_all,SINASC mean birthweight: all births,birth_health,sinasc_dedicated,annual,0,-8.247571542709906,1.77291091710863,-11.72247694024282,-4.772666145176991,-4.651994334921544,3.287401127741895e-06,0,0,-8.247571542709906,0.0,0.0,0.0
sinasc_dedicated_mean_birthweight_all,SINASC mean birthweight: all births,birth_health,sinasc_dedicated,annual,1,-10.088081007498385,1.7648283773805324,-13.547144627164226,-6.62901738783254,-5.716182455356785,1.0894376235575571e-08,1,0,-8.247571542709906,-1.8405094647884788,-5.29957308445432,1.6185541548773665
sinasc_dedicated_mean_birthweight_all,SINASC mean birthweight: all births,birth_health,sinasc_dedicated,annual,2,-12.4748194368172,2.0003463576388647,-16.395498297789374,-8.554140575845025,-6.2363297181904125,4.4795642688791176e-10,2,0,-8.247571542709906,-4.227247894107293,-8.147926755079467,-0.3065690331351192
sinasc_dedicated_mean_birthweight_all,SINASC mean birthweight: all births,birth_health,sinasc_dedicated,annual,3,-7.479686797681387,2.566068922354092,-12.509181885495408,-2.450191709867366,-2.914842517487636,0.0035586806684998,3,0,-8.247571542709906,0.7678847450285193,-4.261610342785502,5.79737983284254
sinasc_dedicated_mean_birthweight_all,SINASC mean birthweight: all births,birth_health,sinasc_dedicated,annual,4,-11.88502129170778,2.623666466449485,-17.02740756594877,-6.74263501746679,-4.529928420281012,5.900367327531385e-06,4,0,-8.247571542709906,-3.6374497489978737,-8.779836023238865,1.5049365252431164
sinasc_dedicated_mean_birthweight_all,SINASC mean birthweight: all births,birth_health,sinasc_dedicated,annual,5,-12.106775090093448,3.5658541344767083,-19.0958491936678,-5.1177009865191,-3.395196391528821,0.0006857938828929425,5,0,-8.247571542709906,-3.859203547383542,-10.848277650957893,3.129870556190806
sinasc_dedicated_mean_birthweight_all,SINASC mean birthweight: all births,birth_health,sinasc_dedicated,annual,6,-5.962130957232677,3.62659992707084,-13.070266814291523,1.1460048998261687,-1.644000186711584,0.1001761638090116,6,0,-8.247571542709906,2.285440585477229,-4.822695271581617,9.393576442536075
sinasc_dedicated_mean_birthweight_all,SINASC mean birthweight: all births,birth_health,sinasc_dedicated,annual,7,-5.308915269740497,4.395332604767865,-13.923767175085512,3.305936635604517,-1.2078529083286251,0.2271038460773573,7,0,-8.247571542709906,2.938656272969409,-5.676195632375606,11.553508178314424
sinasc_dedicated_mean_birthweight_all,SINASC mean birthweight: all births,birth_health,sinasc_dedicated,annual,8,-7.4972250352643774,4.829100240561634,-16.96226150676518,1.967811436236425,-1.5525097143960789,0.1205403101232624,8,0,-8.247571542709906,0.7503465074455287,-8.714689964055275,10.21538297894633
sinasc_dedicated_mean_birthweight_low_education,SINASC mean birthweight: low education proxy,birth_health,sinasc_dedicated,annual,-8,-3.6154453833532423,2.575035205098946,-8.662514385347176,1.4316236186406917,-1.4040372637213396,0.160307753455223,-8,0,-13.425926837674632,9.81048145432139,4.763412452327456,14.857550456315323
sinasc_dedicated_mean_birthweight_low_education,SINASC mean birthweight: low education proxy,birth_health,sinasc_dedicated,annual,-7,-1.047684397594602,2.8102813298472635,-6.555835804095239,4.4604670089060345,-0.3728040984606843,0.7092942522766168,-7,0,-13.425926837674632,12.37824244008003,6.870091033579393,17.886393846580667
sinasc_dedicated_mean_birthweight_low_education,SINASC mean birthweight: low education proxy,birth_health,sinasc_dedicated,annual,-6,-4.156155253839273,3.087382130454256,-10.207424229529614,1.895113721851068,-1.3461745511974463,0.1782462302765754,-6,0,-13.425926837674632,9.26977158383536,3.218502608145018,15.3210405595257
sinasc_dedicated_mean_birthweight_low_education,SINASC mean birthweight: low education proxy,birth_health,sinasc_dedicated,annual,-5,-3.714207228361378,3.1088654264391447,-9.807583464182102,2.379169007459345,-1.1947147009883874,0.2321985167153732,-5,0,-13.425926837674632,9.711719609313255,3.6183433734925305,15.805095845133977
sinasc_dedicated_mean_birthweight_low_education,SINASC mean birthweight: low education proxy,birth_health,sinasc_dedicated,annual,-4,-5.724376564768466,3.4415757440636856,-12.46986502313329,1.0211118935963572,-1.6633010546527545,0.0962521877191036,-4,0,-13.425926837674632,7.701550272906166,0.9560618145413429,14.44703873127099
sinasc_dedicated_mean_birthweight_low_education,SINASC mean birthweight: low education proxy,birth_health,sinasc_dedicated,annual,-3,-12.623466317336318,3.607055825768756,-19.69329573584308,-5.5536368988295575,-3.499659258710235,0.0004658532308834253,-3,0,-13.425926837674632,0.8024605203383146,-6.2673688981684474,7.872289938845075
sinasc_dedicated_mean_birthweight_low_education,SINASC mean birthweight: low education proxy,birth_health,sinasc_dedicated,annual,-2,-11.987587474826372,4.213725882197216,-20.246490203932915,-3.728684745719829,-2.8448902016795485,0.0044426734232837,-2,0,-13.425926837674632,1.4383393628482608,-6.820563366258282,9.697242091954804
sinasc_dedicated_mean_birthweight_low_education,SINASC mean birthweight: low education proxy,birth_health,sinasc_dedicated,annual,-1,-7.1377138371068405,4.174013935236594,-15.318781150170564,1.0433534759568843,-1.7100359385125663,0.087259227564811,-1,0,-13.425926837674632,6.288213000567792,-1.8928543124959312,14.469280313631517
sinasc_dedicated_mean_birthweight_low_education,SINASC mean birthweight: low education proxy,birth_health,sinasc_dedicated,annual,0,-13.425926837674632,4.003899208305501,-21.27356928595341,-5.57828438939585,-3.353212990433055,0.0007987921103800731,0,0,-13.425926837674632,0.0,0.0,0.0
sinasc_dedicated_mean_birthweight_low_education,SINASC mean birthweight: low education proxy,birth_health,sinasc_dedicated,annual,1,-10.27319208880256,4.246131065397245,-18.59560897698116,-1.9507752006239605,-2.419424160625022,0.0155451018804247,1,0,-13.425926837674632,3.1527347488720725,-5.169682139306529,11.475151637050672
sinasc_dedicated_mean_birthweight_low_education,SINASC mean birthweight: low education proxy,birth_health,sinasc_dedicated,annual,2,-10.96818165536339,4.740815258838966,-20.26017956268776,-1.6761837480390174,-2.313564451792099,0.0206916255247996,2,0,-13.425926837674632,2.4577451823112426,-6.834252725013128,11.749743089635615
sinasc_dedicated_mean_birthweight_low_education,SINASC mean birthweight: low education proxy,birth_health,sinasc_dedicated,annual,3,-3.838914661683416,6.254024540853799,-16.096802761756862,8.41897343839003,-0.6138310837455281,0.5393269544954139,3,0,-13.425926837674632,9.587012175991216,-2.67087592408223,21.844900276064664
sinasc_dedicated_mean_birthweight_low_education,SINASC mean birthweight: low education proxy,birth_health,sinasc_dedicated,annual,4,-9.012072346032284,6.231930195448806,-21.226655529111945,3.202510837047376,-1.4461125306913454,0.1481456416644441,4,0,-13.425926837674632,4.413854491642349,-7.800728691437312,16.628437674722008
sinasc_dedicated_mean_birthweight_low_education,SINASC mean birthweight: low education proxy,birth_health,sinasc_dedicated,annual,5,-14.311917388801204,8.222645707973754,-30.42830297642976,1.8044681988273528,-1.7405489543253083,0.0817626719182964,5,0,-13.425926837674632,-0.8859905511265715,-17.002376138755125,15.230395036501985
sinasc_dedicated_mean_birthweight_low_education,SINASC mean birthweight: low education proxy,birth_health,sinasc_dedicated,annual,6,-0.704636253690365,8.547337192288458,-17.45741715057574,16.048144643195013,-0.0824392717682998,0.9342974079601944,6,0,-13.425926837674632,12.721290583984267,-4.0314903129011075,29.474071480869647
sinasc_dedicated_mean_birthweight_low_education,SINASC mean birthweight: low education proxy,birth_health,sinasc_dedicated,annual,7,0.2429794832834091,9.4213155380856,-18.22279897136436,18.708757937931185,0.0257903986233309,0.9794245200918764,7,0,-13.425926837674632,13.668906320958042,-4.796872133689726,32.13468477560582
sinasc_dedicated_mean_birthweight_low_education,SINASC mean birthweight: low education proxy,birth_health,sinasc_dedicated,annual,8,-7.02912343005858,9.21248422546411,-25.085592511968237,11.027345651851077,-0.762999779215846,0.4454635275317245,8,0,-13.425926837674632,6.396803407616052,-11.659665674293604,24.45327248952571
sinasc_dedicated_mean_birthweight_high_education,SINASC mean birthweight: high education proxy,birth_health,sinasc_dedicated,annual,-8,-5.60785983999959,2.4045658470147817,-10.320808900148563,-0.8949107798506182,-2.332171459127073,0.0196916729873927,-8,0,-7.040590129262203,1.4327302892626124,-3.2802187708863606,6.1456793494115844
sinasc_dedicated_mean_birthweight_high_education,SINASC mean birthweight: high education proxy,birth_health,sinasc_dedicated,annual,-7,-6.604986062377561,2.333313924124893,-11.178281353662353,-2.0316907710927703,-2.830731859132394,0.0046441637036334,-7,0,-7.040590129262203,0.4356040668846415,-4.13769122440015,5.008899358169432
sinasc_dedicated_mean_birthweight_high_education,SINASC mean birthweight: high education proxy,birth_health,sinasc_dedicated,annual,-6,-6.439053634422645,2.441974877431193,-11.225324394187783,-1.6527828746575066,-2.6368222269330355,0.0083686676188557,-6,0,-7.040590129262203,0.6015364948395581,-4.184734264925581,5.387807254604696
sinasc_dedicated_mean_birthweight_high_education,SINASC mean birthweight: high education proxy,birth_health,sinasc_dedicated,annual,-5,-7.1225178293832165,2.583102506794119,-12.18539874269969,-2.059636916066744,-2.757350051207589,0.0058271932745816,-5,0,-7.040590129262203,-0.08192770012101391,-5.144808613437487,4.980953213195459
sinasc_dedicated_mean_birthweight_high_education,SINASC mean birthweight: high education proxy,birth_health,sinasc_dedicated,annual,-4,-8.135194516552419,2.508319163248469,-13.051500076519416,-3.2188889565854195,-3.2432852388755453,0.0011815985260784,-4,0,-7.040590129262203,-1.0946043872902163,-6.010909947257213,3.821701172676783
sinasc_dedicated_mean_birthweight_high_education,SINASC mean birthweight: high education proxy,birth_health,sinasc_dedicated,annual,-3,-10.671141438093596,2.584356551386556,-15.736480278811246,-5.605802597375948,-4.129128944057015,3.6414015431585847e-05,-3,0,-7.040590129262203,-3.630551308831393,-8.695890149549044,1.4347875318862542
sinasc_dedicated_mean_birthweight_high_education,SINASC mean birthweight: high education proxy,birth_health,sinasc_dedicated,annual,-2,-10.048978102802591,2.674392391541553,-15.290787190224036,-4.807169015381146,-3.7574808149264265,0.00017163252101664022,-2,0,-7.040590129262203,-3.0083879735403887,-8.250197060961833,2.2334211138810565
sinasc_dedicated_mean_birthweight_high_education,SINASC mean birthweight: high education proxy,birth_health,sinasc_dedicated,annual,-1,-12.96201862421135,2.748500764928943,-18.34908012347208,-7.574957124950622,-4.71603238740465,2.4048817030526662e-06,-1,0,-7.040590129262203,-5.921428494949147,-11.308489994209879,-0.5343669956884192
sinasc_dedicated_mean_birthweight_high_education,SINASC mean birthweight: high education proxy,birth_health,sinasc_dedicated,annual,0,-7.040590129262203,2.0359185179174006,-11.030990424380308,-3.0501898341440974,-3.458188560740743,0.0005438206217246843,0,0,-7.040590129262203,0.0,0.0,0.0
sinasc_dedicated_mean_birthweight_high_education,SINASC mean birthweight: high education proxy,birth_health,sinasc_dedicated,annual,1,-8.449314522998474,1.9914896459694869,-12.352634229098667,-4.54599481689828,-4.242710746751195,2.2083599477568757e-05,1,0,-7.040590129262203,-1.4087243937362715,-5.312044099836465,2.4945953123639226
sinasc_dedicated_mean_birthweight_high_education,SINASC mean birthweight: high education proxy,birth_health,sinasc_dedicated,annual,2,-11.387994236168552,2.190463110063648,-15.681301931893302,-7.094686540443802,-5.198897979084273,2.0047351275987318e-07,2,0,-7.040590129262203,-4.34740410690635,-8.640711802631099,-0.05409641118159936
sinasc_dedicated_mean_birthweight_high_education,SINASC mean birthweight: high education proxy,birth_health,sinasc_dedicated,annual,3,-5.31551063230772,2.784248439107436,-10.772637572958295,0.1416163083428552,-1.909136612109136,0.0562444708079058,3,0,-7.040590129262203,1.725079496954483,-3.732047443696093,7.182206437605058
sinasc_dedicated_mean_birthweight_high_education,SINASC mean birthweight: high education proxy,birth_health,sinasc_dedicated,annual,4,-9.77614875898913,2.935787100107302,-15.53029147519944,-4.022006042778819,-3.329992409405919,0.000868483516160712,4,0,-7.040590129262203,-2.7355586297269276,-8.489701345937238,3.0185840864833837
sinasc_dedicated_mean_birthweight_high_education,SINASC mean birthweight: high education proxy,birth_health,sinasc_dedicated,annual,5,-8.713828319901177,3.8039056188367977,-16.1694833328213,-1.258173306981054,-2.290758287153768,0.0219773974048576,5,0,-7.040590129262203,-1.6732381906389744,-9.128893203559098,5.7824168222811485
sinasc_dedicated_mean_birthweight_high_education,SINASC mean birthweight: high education proxy,birth_health,sinasc_dedicated,annual,6,-3.9962377249518255,3.989199929822575,-11.815069587404071,3.822594137500421,-1.0017642121861672,0.3164574855812229,6,0,-7.040590129262203,3.044352404310377,-4.774479458141869,10.863184266762623
sinasc_dedicated_mean_birthweight_high_education,SINASC mean birthweight: high education proxy,birth_health,sinasc_dedicated,annual,7,-4.270201168772954,4.929840087629883,-13.932687740527529,5.392285402981618,-0.8661946620718759,0.3863834201367692,7,0,-7.040590129262203,2.7703889604892487,-6.892097611265326,12.43287553224382
sinasc_dedicated_mean_birthweight_high_education,SINASC mean birthweight: high education proxy,birth_health,sinasc_dedicated,annual,8,-4.112575741558906,5.394612193236811,-14.686015640303056,6.460864157185243,-0.7623487276276902,0.4458518987052341,8,0,-7.040590129262203,2.9280143877032963,-7.6454255110408536,13.501454286447446
sinasc_dedicated_low_birthweight_low_education_share,SINASC low-birthweight share: low education proxy,birth_health,sinasc_dedicated,annual,-8,0.0013546359672828,0.0012912660227306,-0.0011762454372692,0.0038855173718349,1.0490758243744158,0.2941432218599135,-8,0,0.004221591730842,-0.0028669557635592003,-0.0053978371681112,-0.0003360743590071001
sinasc_dedicated_low_birthweight_low_education_share,SINASC low-birthweight share: low education proxy,birth_health,sinasc_dedicated,annual,-7,-0.0002456729945010383,0.0012911939449425,-0.0027764131265883,0.0022850671375862,-0.1902680813082487,0.8490990641682146,-7,0,0.004221591730842,-0.0044672647253430385,-0.0069980048574303,-0.0019365245932558002
sinasc_dedicated_low_birthweight_low_education_share,SINASC low-birthweight share: low education proxy,birth_health,sinasc_dedicated,annual,-6,-4.0007737618705805e-05,0.0014402689119352,-0.0028629348050117,0.0027829193297743,-0.0277779637449437,0.9778392415639444,-6,0,0.004221591730842,-0.004261599468460706,-0.0070845265358537,-0.0014386724010677
sinasc_dedicated_low_birthweight_low_education_share,SINASC low-birthweight share: low education proxy,birth_health,sinasc_dedicated,annual,-5,-0.0008137515997164204,0.0014330689079188,-0.0036225666592373,0.0019950634598045,-0.5678384306712564,0.57014468192451,-5,0,0.004221591730842,-0.00503534333055842,-0.007844158390079299,-0.0022265282710375
